,wid,bonus
0,w0edbf27,0.73
5,wa0df983,0
10,wa0df983,0.07
13,wf21332f,0.885
16,wbf2e9af,0.8250000000000001
21,w963f6eb,0.075
24,w9b37741,0.9900000000000001
27,w4f9897c,0.96
30,w6702cf7,0.9199999999999999
