wid,startTime,variance,feedback,delay_window,stage,bonus,completed,completed_1,previously_participated,n_quiz,instruct_time,total_time
wa51793d,Mon Feb 01 2021 10:11:02 GMT-0800 (Pacific Standard Time),2_4_24,action,12,1,0.0,True,True,No,1.0,[82836],16.159066666666668
w3c3e725,Mon Feb 01 2021 12:45:13 GMT-0600 (Central Standard Time),2_4_24,action,12,1,0.2,True,True,No,1.0,[73094],14.182916666666667
w1ebe356,Mon Feb 01 2021 13:44:54 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.43,True,True,No,1.0,[140054],19.035466666666668
w0332285,Mon Feb 01 2021 12:36:51 GMT-0600 (Central Standard Time),2_4_24,none,12,1,0.6,True,True,No,1.0,[89008],15.450466666666667
w95dd100,Mon Feb 01 2021 13:38:45 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.35,True,True,No,1.0,[109692],14.2805
w908b47f,Mon Feb 01 2021 13:39:06 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.62,True,True,No,2.0,"[39361, 16456]",9.886683333333334
w066a715,Mon Feb 01 2021 10:42:25 GMT-0800 (Pacific Standard Time),2_4_24,none,12,1,0.6,True,True,No,1.0,[98128],23.760916666666667
wff57731,Mon Feb 01 2021 12:36:40 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.53,True,True,No,1.0,[166611],20.49885
w1133849,Mon Feb 01 2021 12:41:38 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.75,True,True,Yes,2.0,"[36448, 25684]",14.288016666666667
w12ddeff,Mon Feb 01 2021 11:41:45 GMT-0700 (Mountain Standard Time),2_4_24,none,12,1,0.0,True,True,No,1.0,[101858],13.752116666666666
wa77d5d7,Mon Feb 01 2021 12:42:41 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.67,True,True,No,1.0,[65525],15.160016666666667
w504e675,Mon Feb 01 2021 18:41:04 GMT+0000 (Hora padr&#227;o da Europa Ocidental),2_4_24,action,12,1,0.27,True,True,No,1.0,[117778],15.719783333333334
w1ba7061,Mon Feb 01 2021 13:38:57 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.38,True,True,No,1.0,[102284],16.14378333333333
w48f89a1,Mon Feb 01 2021 12:21:41 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,,False,False,,2.0,"[81318, 51821]",
w37a96c2,Mon Feb 01 2021 11:54:37 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.58,True,True,No,1.0,[85712],15.470833333333333
w75851d4,Mon Feb 01 2021 19:19:54 GMT+0100 (czas &#347;rodkowoeuropejski standardowy),2_4_24,none,12,1,0.51,True,True,No,3.0,"[37158, 37132, 4202]",9.937283333333333
w4091bce,Mon Feb 01 2021 13:10:20 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.46,True,True,No,1.0,[93018],19.94565
w6a5935c,Mon Feb 01 2021 12:40:15 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.51,True,True,No,1.0,[50679],11.5248
wdff6be8,Mon Feb 01 2021 10:55:44 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,,False,True,,,,
w8f66a39,Mon Feb 01 2021 13:45:05 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.0,True,True,No,1.0,[32103],21.917983333333332
w98bf507,Mon Feb 01 2021 13:41:20 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.7,True,True,No,1.0,[54279],11.520066666666667
wf6c24ea,Mon Feb 01 2021 14:15:29 GMT-0500 (EST),2_4_24,action,12,1,,False,True,,,,
w6a97990,Mon Feb 01 2021 13:51:39 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.69,True,True,No,1.0,[59181],10.083883333333333
w5d56dfe,Mon Feb 01 2021 13:32:38 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.0,True,True,No,1.0,[64444],9.93435
we99b5b4,Mon Feb 01 2021 13:26:29 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.55,True,True,No,2.0,"[70746, 11238]",12.258033333333334
we849574,Mon Feb 01 2021 12:12:25 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,,False,False,,1.0,[21837],
wba5cfab,Mon Feb 01 2021 12:37:46 GMT-0500 (EST),2_4_24,none,12,1,0.0,True,True,No,1.0,[50457],9.36645
w3806f41,Mon Feb 01 2021 12:16:52 GMT-0600 (Central Standard Time),2_4_24,none,12,1,0.3,True,True,No,1.0,[67475],13.4367
wa6386ac,Mon Feb 01 2021 13:43:08 GMT-0500 (EST),2_4_24,action,12,1,,False,False,,2.0,"[14779, 13537]",
w41fc07c,Mon Feb 01 2021 15:21:41 GMT-0300 (hora de verano de Chile),2_4_24,meta,12,1,,False,True,,,,
wbccf662,Mon Feb 01 2021 13:15:46 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.53,True,True,No,2.0,"[120581, 35106]",21.558766666666667
w383bb6f,Tue Feb 02 2021 00:35:57 GMT+0600 (Bangladesh Standard Time),2_4_24,meta,12,1,0.09,True,True,Yes,3.0,"[54435, 54961, 8745]",26.77851666666667
wed8863d,Mon Feb 01 2021 13:39:03 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.62,True,True,No,1.0,[107125],16.413166666666665
w7e54ba1,Mon Feb 01 2021 11:28:03 GMT-0600 (Central Standard Time),2_4_24,action,12,1,0.47,True,True,No,1.0,[79796],12.140833333333333
w909b325,Mon Feb 01 2021 11:15:31 GMT-0600 (CST),2_4_24,none,12,1,0.5,True,True,No,1.0,[24666],10.497166666666667
w864d4b2,Mon Feb 01 2021 13:25:21 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.81,True,True,No,1.0,[49671],9.690716666666667
wccecfea,Mon Feb 01 2021 13:54:56 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.0,True,True,No,1.0,[47511],18.58031666666667
w87378ec,Mon Feb 01 2021 13:30:47 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,,False,True,,,,
w0175c05,Mon Feb 01 2021 15:32:32 GMT-0300 (hora de verano de Chile),2_4_24,action,12,1,0.64,True,True,No,1.0,[95290],14.190566666666667
wab4032a,Mon Feb 01 2021 10:58:33 GMT-0800 (PST),2_4_24,none,12,1,,False,False,,1.0,[124562],
w870562f,Mon Feb 01 2021 15:16:29 GMT-0300 (hora de verano de Chile),2_4_24,action,12,1,0.81,True,True,No,1.0,[100136],16.0997
wd2a2c7b,Mon Feb 01 2021 10:47:32 GMT-0800 (Pacific Standard Time),2_4_24,action,12,1,0.3,True,True,No,2.0,"[75123, 12913]",17.138766666666665
w131bb1f,Mon Feb 01 2021 12:40:13 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.52,True,True,No,1.0,[50186],12.090816666666667
w3ad57cb,Mon Feb 01 2021 13:31:05 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.68,True,True,No,1.0,[26158],12.368216666666667
w768b992,Mon Feb 01 2021 20:32:29 GMT+0000 (Hora padr&#227;o da Europa Ocidental),2_4_24,none,12,1,,False,False,,1.0,[110080],
w9c48e6a,Mon Feb 01 2021 11:38:40 GMT-0700 (Mountain Standard Time),2_4_24,action,12,1,0.52,True,True,Yes,1.0,[67194],11.7214
w9d87962,Mon Feb 01 2021 13:12:58 GMT-0500 (EST),2_4_24,meta,12,1,,False,True,,,,
w4cdd8c7,Mon Feb 01 2021 13:39:37 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.15,True,True,No,2.0,"[73562, 32504]",63.76045
wbaef3e2,Mon Feb 01 2021 10:20:16 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,0.71,True,True,No,2.0,"[143937, 37601]",17.155083333333334
wc1626b1,Mon Feb 01 2021 18:44:12 GMT+0000 (Greenwich Mean Time),2_4_24,none,12,1,0.5,True,True,No,2.0,"[101093, 32654]",16.616716666666665
w1f49a65,Mon Feb 01 2021 13:20:51 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.57,True,True,No,1.0,[68334],11.990566666666666
wd600cfe,Mon Feb 01 2021 13:59:57 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.59,True,True,No,1.0,[53431],10.724666666666666
w61e9b7a,Mon Feb 01 2021 10:37:07 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,0.63,True,True,No,1.0,[78284],19.852883333333335
wa655ea6,Mon Feb 01 2021 13:08:04 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.71,True,True,No,1.0,[65814],15.251
w54499ba,Mon Feb 01 2021 11:53:38 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.86,True,True,No,1.0,[207918],28.4183
wd316fd3,Mon Feb 01 2021 18:38:22 GMT+0000 (Greenwich Mean Time),2_4_24,action,12,1,0.07,True,True,No,2.0,"[38061, 16800]",13.681283333333333
wffa22e4,Mon Feb 01 2021 12:28:30 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.61,True,True,No,3.0,"[294825, 13766, 17743]",16.068716666666667
w08fad19,Mon Feb 01 2021 18:31:42 GMT+0000 (GMT),2_4_24,none,12,1,,False,False,,1.0,[86195],
w0c4e953,Mon Feb 01 2021 08:52:45 GMT-0800 (Pacific Standard Time),2_4_24,none,12,1,0.69,True,True,No,1.0,[75634],14.566533333333334
w711bb52,Mon Feb 01 2021 12:24:08 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.91,True,True,No,1.0,[39387],9.41205
w3013d26,Mon Feb 01 2021 10:40:29 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,0.63,True,True,No,1.0,[110448],15.400233333333333
w5f4991c,Mon Feb 01 2021 13:26:21 GMT-0500 (EST),2_4_24,action,12,1,0.65,True,True,No,2.0,"[69103, 22655]",12.4726
w74c6f79,Mon Feb 01 2021 10:38:33 GMT-0700 (Mountain Standard Time),2_4_24,none,12,1,0.14,True,True,Not sure,2.0,"[122904, 16825]",16.939333333333334
wc60c79d,Mon Feb 01 2021 10:40:46 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,0.72,True,True,No,2.0,"[81118, 86740]",19.258983333333333
w0a1ea49,Mon Feb 01 2021 10:53:28 GMT-0800 (Pacific Standard Time),2_4_24,none,12,1,0.66,True,True,Yes,2.0,"[46428, 19823]",9.420066666666667
w2224a1f,Mon Feb 01 2021 09:52:42 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,0.77,True,True,No,1.0,[100365],20.304466666666666
w4f54495,Mon Feb 01 2021 12:39:11 GMT-0600 (Central Standard Time),2_4_24,action,12,1,0.61,True,True,No,1.0,[84690],19.050516666666667
w2ce5269,Mon Feb 01 2021 12:48:16 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.54,True,True,No,2.0,"[104546, 54530]",14.393983333333333
w060cff2,Mon Feb 01 2021 13:45:40 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,,False,True,,,,
w2e1b41e,Mon Feb 01 2021 13:10:20 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.34,True,True,No,1.0,[85345],19.638733333333334
w8fb6fa1,Mon Feb 01 2021 11:35:35 GMT-0700 (Mountain Standard Time),2_4_24,none,12,1,,False,True,,,,
w0557ec9,Mon Feb 01 2021 13:41:02 GMT-0500 (EST),2_4_24,none,12,1,,False,False,,1.0,[95125],
wc1b0c87,Mon Feb 01 2021 10:43:53 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,0.76,True,True,No,1.0,[82605],15.348433333333332
wbdd931d,Mon Feb 01 2021 18:16:47 GMT+0000 (Greenwich Mean Time),2_4_24,meta,12,1,0.59,True,True,No,2.0,"[143496, 53793]",16.827333333333332
w8fb82b3,Mon Feb 01 2021 13:35:29 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,,False,True,,,,
wfb54fff,Mon Feb 01 2021 13:23:26 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.03,True,True,No,1.0,[66277],9.089166666666667
wb23e9ec,Mon Feb 01 2021 11:56:48 GMT-0600 (Central Standard Time),2_4_24,action,12,1,,False,True,,,,
w2eb8ffb,Mon Feb 01 2021 13:42:59 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.66,True,True,No,1.0,[80542],12.670916666666667
we547607,Mon Feb 01 2021 13:42:52 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.03,True,True,No,1.0,[34216],13.83525
w4fdfaa8,Mon Feb 01 2021 10:05:47 GMT-0800 (Pacific Standard Time),2_4_24,none,12,1,0.61,True,True,No,1.0,[69577],11.184716666666667
w0e8cc38,Mon Feb 01 2021 10:20:41 GMT-0800 (Pacific Standard Time),2_4_24,action,12,1,0.22,True,True,No,2.0,"[116963, 23084]",19.0284
w2603817,Mon Feb 01 2021 12:17:18 GMT-0600 (Central Standard Time),2_4_24,action,12,1,,False,False,,1.0,[59415],
w4f70e59,Mon Feb 01 2021 13:20:30 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.14,True,True,No,2.0,"[80919, 14667]",23.7131
wbe01bee,Mon Feb 01 2021 12:08:02 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.68,True,True,No,2.0,"[25599, 12787]",15.361833333333333
w913158b,Mon Feb 01 2021 10:44:33 GMT-0800 (Pacific Standard Time),2_4_24,none,12,1,0.0,True,True,No,1.0,[72747],46.16575
wd7312ba,Mon Feb 01 2021 13:11:41 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.5,True,True,No,1.0,[63133],15.889283333333333
wd1971a1,Mon Feb 01 2021 11:30:32 GMT-0700 (MST),2_4_24,action,12,1,,False,False,,1.0,[118727],
w8a08c15,Mon Feb 01 2021 19:16:00 GMT+0100 (czas &#347;rodkowoeuropejski standardowy),2_4_24,none,12,1,,False,True,,,,
wa2c2fff,Mon Feb 01 2021 13:30:51 GMT-0500 (Ora standard orientale USA),2_4_24,meta,12,1,,False,True,,,,
w34e51bd,Mon Feb 01 2021 19:40:52 GMT+0100 (GMT+01:00),2_4_24,meta,12,1,,False,False,,2.0,"[110244, 34226]",
wa531f96,Mon Feb 01 2021 13:19:33 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.4,True,True,No,1.0,[52245],9.441916666666666
w72a67a8,Mon Feb 01 2021 12:43:02 GMT-0600 (Central Standard Time),2_4_24,none,12,1,0.63,True,True,No,1.0,[65917],14.1335
wb5542cf,Mon Feb 01 2021 11:41:53 GMT-0600 (Central Standard Time),2_4_24,none,12,1,0.0,True,True,No,3.0,"[45158, 69981, 19083]",11.943133333333334
w5143b4a,Mon Feb 01 2021 14:20:56 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.23,True,True,No,1.0,[81478],21.39995
wd222b5f,Mon Feb 01 2021 12:40:39 GMT-0600 (Central Standard Time),2_4_24,action,12,1,,False,False,,2.0,"[66364, 28379]",
we213163,Mon Feb 01 2021 13:42:45 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.3,True,True,No,1.0,[53816],11.384266666666667
wea39a49,Mon Feb 01 2021 13:39:41 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.58,True,True,No,3.0,"[65621, 17369, 12127]",13.779466666666666
wcf83aaf,Mon Feb 01 2021 11:13:48 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,0.01,True,True,No,1.0,[722056],46.50103333333333
we2d1dfd,Mon Feb 01 2021 11:04:46 GMT-0700 (Mountain Standard Time),2_4_24,none,12,1,0.53,True,True,No,1.0,[78836],10.87145
wb4732b3,Mon Feb 01 2021 09:56:19 GMT-0800 (Pacific Standard Time),2_4_24,action,12,1,0.48,True,True,No,2.0,"[54809, 50702]",12.9451
w76c9181,Mon Feb 01 2021 12:17:38 GMT-0600 (Central Standard Time),2_4_24,action,12,1,0.62,True,True,No,1.0,[51166],11.2064
wcc72b06,Mon Feb 01 2021 12:39:25 GMT-0600 (Central Standard Time),2_4_24,none,12,1,0.44,True,True,No,1.0,[95652],15.469033333333334
w55b7066,Mon Feb 01 2021 10:42:43 GMT-0700 (Mountain Standard Time),2_4_24,meta,12,1,0.8,True,True,No,1.0,[103923],20.45785
wfd168a1,Mon Feb 01 2021 12:56:20 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.19,True,True,No,2.0,"[98917, 22924]",17.155266666666666
wc7489d9,Mon Feb 01 2021 13:35:04 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.48,True,True,No,1.0,[62280],12.358416666666667
w65df6b0,Mon Feb 01 2021 10:08:07 GMT-0800 (Pacific Standard Time),2_4_24,action,12,1,0.56,True,True,No,2.0,"[136243, 18371]",20.930816666666665
wf71ec7d,Mon Feb 01 2021 10:47:19 GMT-0800 (Pacific Standard Time),2_4_24,action,12,1,,False,False,,1.0,[51818],
w164f313,Mon Feb 01 2021 13:20:45 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.46,True,True,No,2.0,"[45019, 14894]",10.66195
w7628afc,Mon Feb 01 2021 13:38:26 GMT-0500 (EST),2_4_24,none,12,1,0.38,True,True,No,1.0,[113427],18.47215
wde69858,Mon Feb 01 2021 13:38:49 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.62,True,True,No,3.0,"[1354001, 28559, 28418]",35.97363333333333
w87ba793,Mon Feb 01 2021 13:39:30 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.43,True,True,No,1.0,[106824],12.689583333333333
w759fa4e,Mon Feb 01 2021 10:39:33 GMT-0800 (Pacific Standard Time),2_4_24,meta,12,1,,False,True,,,,
w8ec6605,Mon Feb 01 2021 11:34:01 GMT-0700 (Mountain Standard Time),2_4_24,none,12,1,,False,True,,,,
w803befa,Mon Feb 01 2021 12:45:01 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.5,True,True,No,2.0,"[72704, 15545]",20.0853
wc5021f5,Mon Feb 01 2021 12:43:46 GMT-0600 (CST),2_4_24,none,12,1,,False,False,,1.0,[110715],
wda39b48,Mon Feb 01 2021 12:47:23 GMT-0600 (Central Standard Time),2_4_24,none,12,1,0.47,True,True,No,1.0,[79989],23.5469
w82e5f13,Mon Feb 01 2021 10:09:30 GMT-0800 (PST),2_4_24,meta,12,1,,False,False,,1.0,[118533],
w6c8a977,Mon Feb 01 2021 12:16:30 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.5,True,True,No,1.0,[114705],41.4792
w4e7d170,Mon Feb 01 2021 12:51:15 GMT-0600 (Central Standard Time),2_4_24,none,12,1,,False,True,,,,
w8430676,Mon Feb 01 2021 12:39:13 GMT-0500 (EST),2_4_24,action,12,1,,False,False,,1.0,[104545],
we4a987a,Mon Feb 01 2021 13:44:26 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.6,True,True,No,2.0,"[75950, 9861]",13.8848
wc336e2f,Mon Feb 01 2021 13:10:59 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.68,True,True,No,1.0,[52773],9.707766666666666
w3052d4f,Mon Feb 01 2021 12:16:15 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.71,True,True,No,1.0,[83133],15.0962
w05c03dc,Mon Feb 01 2021 13:44:49 GMT-0500 (EST),2_4_24,none,12,1,0.74,True,True,No,1.0,[105487],14.131466666666666
w2b98d1e,Mon Feb 01 2021 13:43:59 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.55,True,True,No,1.0,[74233],16.35465
wf69e14e,Mon Feb 01 2021 11:32:50 GMT-0700 (MST),2_4_24,action,12,1,0.62,True,True,No,1.0,[143356],15.058683333333333
w41e6171,Mon Feb 01 2021 13:47:58 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,,False,False,,1.0,[163948],
w0334984,Mon Feb 01 2021 13:34:46 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,,False,True,,,,
wc0787f1,Mon Feb 01 2021 13:44:59 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.63,True,True,No,2.0,"[73735, 27219]",12.39125
weefa095,Mon Feb 01 2021 12:29:45 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.51,True,True,No,1.0,[91855],11.841133333333334
w37ad53f,Mon Feb 01 2021 13:35:39 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,,False,True,,,,
wc298d78,Mon Feb 01 2021 13:41:05 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.49,True,True,No,1.0,[126563],18.288816666666666
wffe1452,Mon Feb 01 2021 10:41:00 GMT-0800 (Pacific Standard Time),2_4_24,none,12,1,,False,True,,,,
w57c3149,Mon Feb 01 2021 13:30:51 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,,False,True,,,,
w801a8f0,Mon Feb 01 2021 12:39:36 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,0.61,True,True,No,2.0,"[84908, 9777]",12.294866666666667
we8e00b1,Mon Feb 01 2021 13:10:55 GMT-0500 (EST),2_4_24,none,12,1,,False,True,,,,
w94b12b9,Mon Feb 01 2021 13:31:30 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.6,True,True,No,1.0,[87207],12.829383333333332
wc1b79e1,Mon Feb 01 2021 13:34:26 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.0,True,True,No,1.0,[65214],19.694866666666666
wfae338d,Mon Feb 01 2021 13:52:47 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.58,True,True,No,2.0,"[62384, 19428]",11.702183333333334
w9c62672,Mon Feb 01 2021 10:32:34 GMT-0800 (Pacific Standard Time),2_4_24,action,12,1,0.52,True,True,No,1.0,[88256],14.7525
w3f028f3,Mon Feb 01 2021 17:51:18 GMT+0000 (Greenwich Mean Time),2_4_24,action,12,1,0.17,True,True,No,1.0,[134760],22.857566666666667
wbd28639,Mon Feb 01 2021 13:42:45 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.55,True,True,No,1.0,[109487],17.2439
w4c3d2d7,Mon Feb 01 2021 13:33:03 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,,False,True,,,,
w1ba33d0,Mon Feb 01 2021 11:21:49 GMT-0700 (Mountain Standard Time),2_4_24,action,12,1,0.53,True,True,No,1.0,[486049],22.868116666666666
w459b9e5,Mon Feb 01 2021 12:43:28 GMT-0600 (Central Standard Time),2_4_24,action,12,1,0.4,True,True,No,2.0,"[84216, 14110]",15.35175
w9f9da77,Mon Feb 01 2021 13:45:14 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.09,True,True,No,1.0,[57686],20.443266666666666
w84d89c8,Mon Feb 01 2021 12:33:27 GMT-0600 (Central Standard Time),2_4_24,meta,12,1,,False,False,,2.0,"[87890, 8641]",
w7892c83,Mon Feb 01 2021 13:03:27 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.62,True,True,No,1.0,[75698],17.949983333333332
w60c57f3,Mon Feb 01 2021 13:07:24 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.58,True,True,No,1.0,[53403],14.043983333333333
we9f86ad,Mon Feb 01 2021 09:34:46 GMT-0900 (Alaska Standard Time),2_4_24,action,12,1,0.84,True,True,No,2.0,"[89684, 27934]",16.49265
w268ba50,Mon Feb 01 2021 13:42:18 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.68,True,True,Yes,1.0,[28362],9.654833333333332
wdfa349a,Mon Feb 01 2021 13:44:22 GMT-0500 (Eastern Standard Time),2_4_24,meta,12,1,0.59,True,True,No,1.0,[54731],12.13295
wa5f061a,Mon Feb 01 2021 13:35:39 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.61,True,True,No,1.0,[55702],12.166616666666666
w8278843,Mon Feb 01 2021 13:06:22 GMT-0500 (Eastern Standard Time),2_4_24,action,12,1,0.55,True,True,No,1.0,[53435],15.246533333333334
w21f2f2f,Mon Feb 01 2021 13:43:35 GMT-0500 (Eastern Standard Time),2_4_24,none,12,1,0.02,True,True,No,1.0,[24010],9.80415
w83ecf8d,Mon Feb 01 2021 12:29:01 GMT-0600 (Central Standard Time),2_4_24,action,12,1,0.51,True,True,No,1.0,[124529],13.367866666666666
