wid,stimulus,button_pressed,view_history,questions,responses,correct,block,delays,score,trial_time,path,state_rewards,trial_index,key_press,clicks,n_clicks,stim_i
w3861fef,,,,,,,training,"[0, 0]",41.0,8480.0,"['0', '9', '10', '11']","['', 4, 4, -48, 48, 4, 4, -24, -24, 2, -8, 48, -24]",9,,[11],1,24
wdb29b3e,,,,,,,training,"[3, 3, 41]",-20.0,110435.0,"['0', '5', '6', '7']","['', -2, -8, 24, 48, -2, 8, -24, -24, -2, -4, 24, -24]",0,,"[5, 9]",2,25
wdb29b3e,,,,,,,training,[42],48.0,60712.0,"['0', '1', '2', '3']","['', 4, -4, 48, -48, -2, -8, 24, 24, -2, 4, 48, -48]",1,,[],0,22
wdb29b3e,,,,,,,training,[42],-30.0,71870.0,"['0', '9', '10', '12']","['', 2, 8, 48, 24, -2, 4, 24, 24, -2, -4, -48, -24]",2,,[],0,26
wdb29b3e,,,,,,,training,"[0, 40]",19.0,55895.0,"['0', '1', '2', '3']","['', 4, -8, 24, 24, 2, 4, 24, 48, -2, 4, 24, -48]",3,,[12],1,27
wdb29b3e,,,,,,,training,"[0, 0, 0, 0]",35.0,31477.0,"['0', '5', '6', '8']","['', -4, -4, -48, -48, -2, -8, 24, 48, 2, 4, -24, -48]",4,,"[3, 12, 8]",3,20
wdb29b3e,,,,,,,training,"[0, 0]",53.0,17039.0,"['0', '1', '2', '4']","['', 2, 4, -24, 48, -4, 8, -48, 48, 2, -4, 24, -24]",5,,[4],1,28
wdb29b3e,,,,,,,training,"[0, 0, 0, 2, 4]",38.0,31653.0,"['0', '5', '6', '8']","['', 4, -4, -48, 24, -2, -4, 24, 48, 4, -4, 48, -48]",6,,"[12, 3, 8, 11]",4,29
wdb29b3e,,,,,,,training,"[0, 0]",49.0,14345.0,"['0', '1', '2', '3']","['', -2, 4, 48, 24, -4, 8, -48, 24, 4, -8, 24, 24]",7,,[3],1,30
wdb29b3e,,,,,,,training,"[0, 0]",47.0,14942.0,"['0', '9', '10', '12']","['', -4, 4, 24, 24, 2, 8, -24, 24, -4, 4, -24, 48]",8,,[12],1,13
wdb29b3e,,,,,,,training,"[0, 0, 0, 0]",35.0,17271.0,"['0', '9', '10', '12']","['', 4, -8, -48, -48, -4, 4, 24, 24, -2, -8, -24, 48]",9,,"[8, 4, 12]",3,7
w7628afc,,,,,,,training,[],50.0,17587.0,"['0', '1', '2', '3']","['', -2, 4, 48, 24, -4, 8, -48, 24, 4, -8, 24, 24]",0,,[],0,30
w7628afc,,,,,,,training,[],18.0,14763.0,"['0', '5', '6', '7']","['', 2, -4, 48, 24, -2, -4, 24, 24, 2, -8, -24, 24]",1,,[],0,31
w7628afc,,,,,,,training,[],-18.0,12672.0,"['0', '1', '2', '3']","['', -2, 8, -24, 24, -4, 8, 48, 24, -2, -4, 24, -48]",2,,[],0,32
w7628afc,,,,,,,training,[],-46.0,10895.0,"['0', '9', '10', '12']","['', 4, -4, 48, -48, -2, -8, 24, 24, -2, 4, 48, -48]",3,,[],0,22
w7628afc,,,,,,,training,[],44.0,17096.0,"['0', '9', '10', '12']","['', -4, 4, 24, 24, 2, 8, -24, 24, -4, 4, -24, 48]",4,,"[8, 11, 12, 4]",4,13
w7628afc,,,,,,,training,[],24.0,69397.0,"['0', '9', '10', '12']","['', -2, -4, -48, -48, 2, -8, -24, -24, 2, 4, 24, 24]",5,,"[4, 3, 8, 7, 11, 12]",6,33
w7628afc,,,,,,,training,[],44.0,16597.0,"['0', '9', '10', '12']","['', 2, -4, 24, -48, -4, -8, -48, -48, -4, 4, -48, 48]",6,,"[4, 8, 11, 12]",4,18
w7628afc,,,,,,,training,[],25.0,17276.0,"['0', '9', '10', '11']","['', 2, -4, 24, -48, -2, -8, 24, -48, 2, 4, 24, -48]",7,,"[4, 12, 11, 8, 7]",5,34
w7628afc,,,,,,,training,[],58.0,9668.0,"['0', '9', '10', '12']","['', -2, -4, 48, -48, 2, 4, -48, 24, 4, 8, -48, 48]",8,,"[11, 12]",2,35
w7628afc,,,,,,,training,[],43.0,9493.0,"['0', '5', '6', '7']","['', 2, 4, 24, -24, 4, -8, 48, -24, -4, 8, -48, 48]",9,,[7],1,36
wde69858,,,,,,,training,"[3, 42]",-31.0,79936.0,"['0', '9', '10', '12']","['', -2, 4, -48, -24, 2, 4, 24, 24, -2, -4, 48, -24]",0,,[1],1,1
wde69858,,,,,,,training,"[3, 41]",-35.0,61744.0,"['0', '9', '10', '11']","['', 4, -8, -48, -48, -4, 4, 24, 24, -2, -8, -24, 48]",1,,[5],1,7
wde69858,,,,,,,training,"[0, 0, 0, 0]",47.0,23536.0,"['0', '9', '10', '11']","['', 4, -4, 48, -48, -2, -8, 24, 24, -2, 4, 48, -48]",2,,"[4, 12, 11]",3,22
wde69858,,,,,,,training,"[0, 0, 0, 0]",41.0,10731.0,"['0', '9', '10', '11']","['', -4, 4, -24, -24, -4, -8, 24, -24, 4, -8, 48, -48]",3,,"[4, 3, 11]",3,37
wde69858,,,,,,,training,"[0, 0, 0, 0]",39.0,10723.0,"['0', '9', '10', '11']","['', 4, 4, -48, 48, 4, 4, -24, -24, 2, -8, 48, -24]",4,,"[7, 8, 11]",3,24
wde69858,,,,,,,training,"[0, 0, 0, 0, 0, 0]",49.0,13083.0,"['0', '5', '6', '8']","['', -4, -8, 24, -24, -2, 8, 24, 48, 4, -4, 24, -48]",5,,"[11, 4, 12, 3, 8]",5,38
wde69858,,,,,,,training,"[0, 0, 0, 0, 0, 0, 0]",24.0,8823.0,"['0', '9', '10', '11']","['', -2, -4, -48, -48, 2, -8, -24, -24, 2, 4, 24, 24]",6,,"[12, 11, 7, 8, 4, 3]",6,33
wde69858,,,,,,,training,"[0, 0, 0, 0, 0, 0, 5]",20.0,14632.0,"['0', '1', '2', '3']","['', -2, 4, 24, -24, -4, 4, -24, 24, -4, -8, -24, 24]",7,,"[11, 12, 4, 8, 7, 3]",6,2
wde69858,,,,,,,training,"[0, 0, 0]",42.0,8759.0,"['0', '9', '10', '12']","['', -4, 8, -24, -48, -4, 8, -48, 48, 4, -8, -24, 48]",8,,"[11, 12]",2,39
wde69858,,,,,,,training,"[0, 0]",57.0,10038.0,"['0', '1', '2', '3']","['', 2, 8, 48, -24, -4, -4, -48, 24, -4, -8, -48, -24]",9,,[3],1,14
w01669a7,,,,,,,training,[],50.0,17479.0,"['0', '1', '2', '4']","['', 2, 4, -24, 48, -4, 8, -48, 48, 2, -4, 24, -24]",0,,"[5, 1, 2, 4]",4,28
w01669a7,,,,,,,training,[],46.0,19519.0,"['0', '9', '10', '12']","['', -4, 4, 24, 24, -2, -4, 48, -24, -4, 8, -48, 48]",1,,"[9, 1, 5, 10, 11, 12]",6,4
w01669a7,,,,,,,training,[],18.0,12018.0,"['0', '1', '2', '4']","['', 2, -4, 24, 24, -4, 4, -24, -24, -2, 4, -24, -48]",2,,"[1, 2, 4, 3]",4,40
