pid,block,correct,delays,key_press,questions,responses,score,trial_index,trial_time,view_history,clicks,n_clicks,stim_i
17,training,,"[3, 3, 0, 0, 0, 0, 0, 0, 3, 0]",,,,29.0,0,36603.0,,"[9, 5, 11, 12, 4, 3, 7, 8, 6]",9,0
17,training,,"[0, 0, 0, 2, 0]",,,,54.0,1,23450.0,,"[8, 7, 3, 2]",4,1
17,training,,"[0, 0, 0, 0, 0, 0, 0, 3, 0]",,,,28.0,2,19926.0,,"[3, 7, 4, 12, 8, 11, 6, 5]",8,2
17,training,,"[0, 0, 0]",,,,58.0,3,9307.0,,"[8, 7]",2,3
17,training,,"[0, 0, 0, 0, 0, 0, 0]",,,,24.0,4,10345.0,,"[7, 8, 12, 11, 4, 3]",6,4
17,training,,"[0, 0, 0, 0, 0, 0, 0]",,,,48.0,5,9327.0,,"[4, 3, 7, 8, 12, 11]",6,5
17,training,,"[0, 0, 0, 0, 2, 0, 3, 0]",,,,47.0,6,26008.0,,"[4, 7, 3, 11, 8, 6, 10]",7,6
17,training,,"[0, 2, 0]",,,,48.0,7,10934.0,,"[8, 6]",2,7
17,training,,"[0, 0, 0, 0, 0, 3, 0]",,,,32.0,8,17017.0,,"[8, 7, 3, 4, 11, 10]",6,8
17,training,,"[0, 0, 0, 0]",,,,41.0,9,11064.0,,"[8, 12, 11]",3,9
17,test,,"[0, 0]",,,,59.0,10,9995.0,,[12],1,10
17,test,,"[0, 0, 0, 0, 0, 0]",,,,39.0,11,9435.0,,"[12, 11, 3, 7, 8]",5,11
17,test,,"[0, 0, 0, 0, 0]",,,,36.0,12,9855.0,,"[8, 7, 3, 11]",4,12
17,test,,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,17.0,13,14108.0,,"[12, 11, 7, 8, 3, 4, 2]",7,13
17,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,48.0,14,9876.0,,"[12, 11, 4, 3, 7, 8]",6,14
17,test,,"[0, 0, 0, 0, 0, 0]",,,,49.0,15,9671.0,,"[8, 7, 3, 4, 11]",5,15
17,test,,"[0, 0, 0, 0, 0]",,,,56.0,16,10169.0,,"[11, 7, 8, 12]",4,16
17,test,,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,9.0,17,12574.0,,"[12, 8, 7, 3, 11, 4, 6]",7,17
17,test,,"[0, 0, 0]",,,,40.0,18,8739.0,,"[4, 11]",2,18
17,test,,"[0, 0, 0, 0, 0, 0]",,,,47.0,19,9793.0,,"[12, 11, 4, 3, 7]",5,19
17,test,,"[0, 0, 0, 0, 0]",,,,46.0,20,8671.0,,"[7, 11, 4, 3]",4,20
17,test,,"[0, 0, 0]",,,,48.0,21,8739.0,,"[3, 7]",2,21
17,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,24.0,22,9987.0,,"[7, 8, 12, 11, 4, 3]",6,22
17,test,,"[0, 0, 0, 0, 0]",,,,32.0,23,8767.0,,"[4, 11, 12, 8]",4,23
17,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,32.0,24,8788.0,,"[8, 7, 3, 4, 11, 12]",6,24
17,test,,"[0, 0, 0]",,,,40.0,25,9974.0,,"[12, 8]",2,25
17,test,,"[0, 0, 0, 0, 0, 0, 0, 0]",,,,23.0,26,12232.0,,"[8, 7, 3, 4, 11, 12, 6]",7,26
17,test,,"[0, 0]",,,,47.0,27,9682.0,,[12],1,27
17,test,,"[0, 0, 0, 0]",,,,51.0,28,9831.0,,"[12, 8, 7]",3,28
17,test,,"[0, 0, 0, 0, 0, 0]",,,,49.0,29,9376.0,,"[7, 3, 11, 12, 8]",5,29
7,training,,"[3, 0, 0, 15]",,,,19.0,0,47936.0,,"[1, 4, 3]",3,27
7,training,,"[0, 0, 0, 0, 2, 0]",,,,49.0,1,16976.0,,"[7, 8, 12, 11, 4]",5,15
7,training,,"[0, 0, 0, 0, 0]",,,,56.0,2,13809.0,,"[11, 7, 8, 12]",4,10
7,training,,"[0, 0, 3, 0]",,,,49.0,3,13587.0,,"[11, 7, 8]",3,19
7,training,,"[0, 0, 0, 0, 0, 0, 5]",,,,6.0,4,22966.0,,"[11, 7, 8, 12, 3, 4]",6,30
7,training,,"[0, 0, 0, 0, 0, 0, 0]",,,,40.0,5,14997.0,,"[11, 7, 8, 12, 4, 3]",6,31
7,training,,"[0, 0, 0, 3, 0]",,,,44.0,6,13015.0,,"[11, 12, 8, 7]",4,32
7,training,,"[0, 0, 0]",,,,54.0,7,10716.0,,"[11, 12]",2,33
7,training,,"[0, 0, 0, 0]",,,,33.0,8,11147.0,,"[11, 12, 8]",3,23
7,training,,"[0, 0]",,,,53.0,9,8731.0,,[8],1,14
7,test,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,7.0,10,30862.0,,"[11, 7, 8, 12, 4, 3, 2, 6]",8,34
7,test,,"[0, 0, 0, 0, 0]",,,,-4.0,11,20959.0,,"[7, 8, 12, 3]",4,35
7,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,9.0,12,17690.0,,"[11, 7, 12, 8, 4, 3]",6,36
7,test,,"[0, 0, 0]",,,,23.0,13,16977.0,,"[11, 7]",2,37
7,test,,"[0, 0, 0]",,,,-12.0,14,10698.0,,"[11, 7]",2,38
