,wid,bonus
3,wdf9eec4,0.6749999999999999
6,w1484ac8,0.9550000000000001
9,w53f1ce6,0.415
14,w452050f,0.9400000000000001
17,w990935f,0.8400000000000001
20,wed54a86,0.785
23,wee9d90b,0.625
28,w5eb0daf,0.855
31,w73ffb2d,0.645
34,w603f1f0,0
37,w8eabdd6,0.9349999999999999
42,wa51fa21,0.8
45,w3bcd128,1.105
48,w911dad2,1.045
51,w4e2bdca,0.9850000000000001
54,wd15d31c,0.685
57,w2b95138,0.81
60,wcd00080,0.71
63,w5ec2cd8,0.665
66,wf4a8f53,1.05
69,w333e5db,0.8150000000000001
72,web7023c,0.8550000000000001
