worker_id,bonus,wid
5c586f5eee248f00016b7fe7,0.88,w65bc127
5bc0981274e76c00019e94cd,1.13,w2793fb6
5a3c81081950a80001e7ab99,0.96,w6676851
5dd364f67b6a6636f039ba37,1.02,w481d889
5f507fb3e29c991f68f5879a,1.04,w93f26eb
5f11dae9c4fa8f0aae5f0c27,1.04,w2a0ab42
5be8a1701664db0001d804f8,1.14,web8ffb5
5f953104056d07000b07ddca,0.85,w093eaeb
5ed07b035d44fa1539f0c3e4,1.2,we5c6276
5f4c904e611c2f000bc7abd5,0.85,wcfde54b
5e1ccb298f3c65054bd232c1,1.24,wa86155a
5c0c8097594d92000167cb6d,1.04,w40e3389
5dc4e8c79be08f38e4bd7f8f,1.04,wc3d7f02
5f63a5459301b60c5597dfd1,1.37,w1dcfaef
5de76eb75fb5c86d599eef3c,0.97,w5c09935
5ea7b7db3021ac19f4c60770,0.98,w2ab54ce
5f87c566563f7c20abe907a6,0.85,w4a334cd
5e9b621702bbdc069b2496c4,0.85,w355bc50
5ba061980611410001075732,1.03,w14aa0fc
574128a9a0a4b20011b02fda,1.05,w26c2c7b
5ed738379a8d501a9b42aef6,0.76,w5c03936
5eb46ccc0c06142c0faae377,0.99,wf9761ce
5a5bff49acc75b00017a6009,1.04,wb264739
566c9284d408ea000519c6d7,1.13,w66b2542
5ec5925cb3d6035afea34d20,0.76,we2c2af5
5f3810bc8049e40ad7b6909a,1.09,w92f2ebc
5f7224ac27835810d508f6ef,0.78,w9964b87
5d4c78071b920f00198e8533,1.11,w18740cf
5e8b7c47dcdcc005a9f8e904,0.94,w3fd7606
5f1ca7c9d3db3c11895ba1fa,0.9,w9fe461d
5ef50efb540ce9158a111a6b,0.99,w35d67ff
5f120594adcb84118a2bd752,0.94,w38b044a
5af709b825561e00013acd7e,0.76,w44519a3
56f29effed0cf60006911528,1.08,w91c085c
5eba18339a2fbf14ca992775,1.17,w905a6a8
5f8a33a9ebe8890edbff9da1,0.9,w06dda84
55fb068b77f33b0005cb1efc,1.02,waecabcf
5e97dabdaec5002a97df44bc,1.18,wa2fd528
5e73f009c4c4983798101851,0.9,w7bcba3b
5aeffc6e0ccc2e000185aa28,0.8,w4af49c9
5f5d417b2f9ff7585e4235a5,0.99,w61f58b5
55c43918fdf99b080551e044,0.84,w4004298
5a6790c063394a000155b049,0.88,we768dde
5b16c598d81c880001187bc1,1.2,w3f48398
5f7cac5836bfca11a41e047e,0.91,w303e045
5dd1bcb78b8df12171cf5dff,0.88,w61f7f66
55884984fdf99b4021921e67,1.1,wc5e4d33
5c5d0c72d697e70001079ca0,1.05,w03d79e5
5e26f9275b32379235cbbe94,1.04,w41d93aa
5f033adcd2fab64efd3502d2,1.11,w21b72c7
5f2f6f0f7729c53589432038,1.09,w202e807
5f5bac39ce8ed832aa378a53,1.21,wde6f8b6
5deaf76503356522363712c8,1.1,w9c4b289
57ac9e210493620001d3a277,1.11,w41dfe98
5e415a5f9dd805382f0b6af9,0.97,w34122c9
5f4eb642ce413e0ecc88e227,0.96,wa93d8e1
5b589d330bc96b0001fa5d3c,1.07,w66dbfb9
5de553a18f5cd54e76dd1466,0.94,w94555d2
5e4c21f770e1ed0849f9a7d0,1.24,w262270e
5ced2e280b20970017acee91,0.87,w322a67f
5c525573f3001c000124e4cb,0.7,w49a4ecc
5a01ddf3728b1b0001ad8ad0,0.97,w1192040
5f2949fdd9d4cf00083d7130,1.01,w445c486
5e5d824268168509ca89806f,0.88,w4e3fba9
5f76121ac0c40e0564245b70,1.28,w66a7dde
5dd36d5259b1b03707103b36,1.01,wc1e07f0
55d242825bc5bc0012d90383,0.97,wb91524e
5efa4215e40a3d124e70b7c3,1.12,w1aeb482
5cabd5cacc54e70001094d05,1.03,wda8a823
5c4be2759233b80001b2ed8a,1.01,wd68ac06
56021163e372c00011bd426d,0.86,w15919cb
5f91b0b4ecc9b1056007abe1,0.75,w2915cde
5f6699aef1af6f28a6e3e496,1.15,w6bb907b
5dd94be0fd5b288cf5cfc966,1.04,w693b738
5e596c7962d4f9027fc4b594,1.06,w6ea1325
5d88f2f8cefb52001a83f1b2,1.11,w38cc0d1
5d8a65b2aea1ac0019a5a588,1.22,w1ba4d2a
5aaf13dbfb22320001bab178,1.13,w5c82366
5e39872941345d19db4d3e20,1.28,w214beb3
5eb1be3396a9262f9fae741a,0.77,w34b3b14
5f932ed3819efa0d73884dbf,0.65,wbb1a933
5f60d1dbfc02e3049c1ec760,1.05,w14755fd
5f2dafb57ef56d0c6420bd98,1.12,wec30174
5f63a30a09bd340c84c6688d,1.05,w779cc78
5d3bc1906866bc00169046c8,1.13,wafa08c4
5dce9f0c867a25197d6944c5,0.92,w9eab211
5f4bb8e390266306e52d47bc,1.07,wd43d838
5c03688d29abc00001991a3a,1.11,w88fa9c1
5a03d20a7ecfc50001be0a7a,0.77,w63876de
589a46af57995d0001a8a03a,1.14,wd6c841c
5f5561aaa0ac76139a995737,1.09,w0ad7a18
5f8c8b84e360200d51e90aab,1.02,w7d702f2
5d0109d87cd400001a9adefb,1.2,w6392fb9
5f0e52aa66ece519e2831c7c,0.94,w81e01f7
5de847efd0e07e7b5f97ef76,1.03,w47d0970
5dea9b4a35575a1c1c362ae6,0.9,wed564b7
5f934373da91be1060d843b9,0.82,w93869a6
5c910c77873e3b001575b95b,1.22,w45d9d3d
5a7b2b52000dab00018c402b,0.93,w7372f01
5f5be44433097f39b8ac2223,0.71,w00a5b64
5f345b441676901c1c1d203a,0.89,wdb72bf5
5cc0b8168d25ab001796b8fe,0.99,w40735d7
5a02083e087f2e0001eadbdb,1.2,wfcb5827
5cd438bdcbd7830017dba215,0.92,wb7ac4c3
5cfb5233df7d70001619ca90,0.69,w6d0d217
55895b93fdf99b6bd06017c4,0.86,w18c6801
5ea350e54687bd109467dc70,1.09,w3d8365b
5bf86a676af57800010cc71c,1.02,w0cdbe34
5c7b6606edd568001200fa9c,1.08,w0d91644
5ef7710bb5b38908a7fc8625,1.14,wfad7116
55595b70fdf99b387ae30d2b,0.93,we6f0dfa
5d1804fa1a4be70001636be9,0.79,w6c91f53
5f401e7ce4e248131b700c9d,0.85,wc4d18d1
5d949970ca12280014908f72,1.06,w304b9ad
5f6f804d08ac07510eaaf4ed,1.02,w6b242c5
5e98316c930e800008d51eec,1.12,wa616224
5ecff62cb1b0dc08775b33f4,1.0,w79cb3a2
5d85150104ad7f00180935d1,1.07,wcf6b956
5e38f1b8a0743e10f54280de,1.14,w03510c5
