pid,block,correct,delays,key_press,questions,responses,score,trial_index,trial_time,view_history,clicks,n_clicks,stim_i
55,training,,"[0, 2, 7]",,,,8.0,0,24965.0,,"[5, 9]",2,0
55,training,,"[0, 0, 2, 2, 5]",,,,1.0,1,24178.0,,"[1, 5, 9, 6]",4,1
55,training,,"[0, 0, 0, 0, 0, 3, 3]",,,,-6.0,2,25367.0,,"[5, 6, 9, 1, 2, 4]",6,2
55,training,,"[0, 0, 0, 3, 0, 2]",,,,15.0,3,15552.0,,"[5, 1, 9, 10, 12]",5,3
55,training,,"[0, 0, 0, 0, 3]",,,,6.0,4,15445.0,,"[5, 6, 7, 8]",4,4
55,training,,"[0, 0, 0, 3, 0, 0]",,,,20.0,5,23235.0,,"[5, 1, 9, 10, 12]",5,5
55,training,,"[0, 0, 0, 2, 0, 2, 0, 2]",,,,-2.0,6,21285.0,,"[5, 1, 9, 10, 11, 2, 12]",7,6
55,training,,"[0, 0, 0]",,,,23.0,7,9570.0,,"[1, 3]",2,7
55,training,,"[0, 0, 0, 0, 2, 2, 3, 0, 0]",,,,7.0,8,28089.0,,"[5, 9, 1, 3, 4, 6, 2, 7]",8,8
55,training,,"[0, 0, 0]",,,,28.0,9,9384.0,,"[5, 7]",2,9
55,test,,"[0, 0, 0, 0, 0]",,,,16.0,10,18786.0,,"[5, 6, 7, 8]",4,10
55,test,,"[0, 0, 0, 0, 0]",,,,11.0,11,9435.0,,"[5, 1, 9, 11]",4,11
55,test,,"[0, 0, 0, 0, 0, 0, 0]",,,,14.0,12,8473.0,,"[9, 5, 1, 6, 7, 8]",6,12
55,test,,"[0, 0, 0, 0, 0, 0]",,,,10.0,13,12666.0,,"[5, 1, 2, 3, 9]",5,13
55,test,,"[0, 0, 0, 0, 0, 0]",,,,5.0,14,9912.0,,"[5, 1, 9, 11, 12]",5,14
55,test,,"[0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,2.0,15,19094.0,,"[5, 1, 9, 3, 4, 6, 10, 7]",8,15
55,test,,"[0, 0, 0, 0, 0]",,,,6.0,16,9307.0,,"[5, 9, 11, 12]",4,16
55,test,,"[0, 0, 0, 0]",,,,7.0,17,9164.0,,"[5, 1, 7]",3,17
55,test,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,-7.0,18,28026.0,,"[5, 1, 9, 2, 4, 3, 6, 7, 8, 10, 11, 12]",12,18
55,test,,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",,,,-7.0,19,19072.0,,"[5, 1, 2, 9, 10, 11, 12, 3, 4, 6, 7, 8]",12,19
55,test,,"[0, 0, 0]",,,,13.0,20,9344.0,,"[5, 7]",2,20
55,test,,"[0, 0, 0]",,,,13.0,21,8306.0,,"[5, 7]",2,21
55,test,,"[0, 0, 0, 0, 0, 0]",,,,15.0,22,9584.0,,"[5, 1, 9, 11, 12]",5,22
55,test,,"[0, 0, 0]",,,,13.0,23,8281.0,,"[5, 7]",2,23
