pid,bonus,completed,startTime,feedback,total_time
0,0.0,False,Mon Dec 09 2019 15:51:28 GMT-0500 (Eastern Standard Time),meta,7.105916666666666
1,0.0,False,Wed Feb 26 2020 10:53:43 GMT-0800 (Pacific Standard Time),meta,
2,2.01,True,Wed Feb 26 2020 14:14:23 GMT-0500 (Eastern Standard Time),meta,28.550483333333332
3,1.93,True,Wed Feb 26 2020 13:21:11 GMT-0500 (Eastern Standard Time),meta,16.29165
4,1.52,True,Wed Dec 11 2019 13:54:48 GMT-0800 (Pacific Standard Time),meta,13.3559
5,1.4,True,Wed Feb 26 2020 10:49:17 GMT-0800 (Pacific Standard Time),none,11.211616666666666
6,0.0,False,Wed Dec 11 2019 16:23:36 GMT-0500 (Eastern Standard Time),none,
7,0.8,True,Wed Feb 26 2020 11:36:18 GMT-0500 (Eastern Standard Time),none,15.471316666666667
8,1.28,True,Wed Feb 26 2020 13:55:06 GMT-0500 (Eastern Standard Time),none,16.977383333333332
9,0.0,False,Wed Feb 26 2020 14:31:41 GMT-0500 (Eastern Standard Time),meta,
10,1.8,True,Wed Feb 26 2020 21:00:35 GMT+0530 (India Standard Time),meta,24.500183333333332
11,2.69,True,Wed Feb 26 2020 12:37:57 GMT-0600 (Central Standard Time),meta,14.3659
12,0.0,False,Wed Dec 11 2019 17:39:17 GMT-0500 (Eastern Standard Time),none,7.5778
13,0.44,True,Mon Dec 09 2019 15:08:02 GMT-0600 (Central Standard Time),none,17.5641
14,1.15,True,Wed Dec 11 2019 13:56:26 GMT-0800 (Pacific Standard Time),none,16.99185
15,1.16,True,Wed Feb 26 2020 11:32:57 GMT-0500 (Eastern Standard Time),meta,20.2455
16,0.0,False,Wed Feb 26 2020 13:38:48 GMT-0500 (Eastern Standard Time),meta,
17,0.58,True,Wed Feb 26 2020 10:33:28 GMT-0500 (Eastern Standard Time),none,18.857883333333334
18,2.52,True,Wed Feb 26 2020 10:42:40 GMT-0500 (Eastern Standard Time),meta,25.81961666666667
19,2.45,True,Wed Feb 26 2020 10:23:38 GMT-0500 (Eastern Standard Time),meta,30.354216666666666
20,0.16,True,Wed Feb 26 2020 10:46:15 GMT-0500 (Eastern Standard Time),none,15.071833333333334
21,2.2,True,Wed Feb 26 2020 10:41:53 GMT-0500 (Eastern Standard Time),none,21.074333333333332
22,2.4,True,Wed Feb 26 2020 13:17:59 GMT-0500 (Eastern Standard Time),none,13.396116666666666
23,2.06,True,Wed Feb 26 2020 10:36:35 GMT-0500 (Eastern Standard Time),none,11.2462
24,1.0,True,Wed Feb 26 2020 20:57:00 GMT+0530 (India Standard Time),none,21.015716666666666
25,2.6,True,Wed Feb 26 2020 08:24:15 GMT-0700 (Mountain Standard Time),meta,14.967983333333333
26,2.12,True,Wed Feb 26 2020 11:02:06 GMT-0500 (EST),meta,12.72325
27,2.01,True,Wed Dec 11 2019 18:02:01 GMT-0500 (Eastern Standard Time),none,12.805683333333333
28,1.46,True,Wed Feb 26 2020 10:44:52 GMT-0600 (Central Standard Time),meta,12.004033333333334
29,2.3,True,Wed Dec 11 2019 16:59:29 GMT-0500 (Eastern Standard Time),none,17.008416666666665
30,1.95,True,Wed Dec 11 2019 16:39:25 GMT-0500 (Eastern Standard Time),meta,18.92503333333333
31,3.2,True,Wed Feb 26 2020 11:04:44 GMT-0500 (Eastern Standard Time),meta,16.079316666666667
32,1.75,True,Wed Dec 11 2019 17:38:54 GMT-0500 (Eastern Standard Time),meta,14.856033333333333
33,0.0,True,Wed Dec 11 2019 17:23:16 GMT-0500 (Eastern Standard Time),none,11.587033333333334
34,1.08,True,Wed Feb 26 2020 11:31:14 GMT-0600 (Central Standard Time),none,17.46595
35,0.99,True,Wed Dec 11 2019 16:02:13 GMT-0600 (Central Standard Time),none,25.75575
36,1.59,True,Wed Feb 26 2020 10:17:30 GMT-0600 (Central Standard Time),none,22.552933333333332
37,1.4,True,Wed Dec 11 2019 14:15:27 GMT-0800 (Pacific Standard Time),none,14.482433333333333
38,1.82,True,Wed Dec 11 2019 14:44:17 GMT-0800 (Pacific Standard Time),none,11.4343
39,1.96,True,Wed Dec 11 2019 16:45:43 GMT-0500 (Eastern Standard Time),meta,13.99245
40,1.56,True,Wed Dec 11 2019 14:21:24 GMT-0800 (Pacific Standard Time),meta,28.977166666666665
41,1.76,True,Wed Dec 11 2019 14:03:49 GMT-0800 (Pacific Standard Time),meta,15.4075
