pid,bonus,completed,startTime,feedback,total_time
42,0.41,True,Wed Dec 11 2019 16:26:47 GMT-0600 (Central Standard Time),none,21.562716666666667
43,1.62,True,Wed Feb 26 2020 08:34:09 GMT-0800 (Pacific Standard Time),meta,22.27241666666667
44,0.0,False,Wed Feb 26 2020 10:36:11 GMT-0500 (Eastern Standard Time),meta,
45,0.36,True,Wed Feb 26 2020 10:26:43 GMT-0500 (Eastern Standard Time),none,25.164583333333333
46,2.23,True,Wed Feb 26 2020 07:26:08 GMT-0800 (Pacific Standard Time),meta,14.243583333333333
47,0.15,True,Wed Dec 11 2019 13:30:00 GMT-0800 (Pacific Standard Time),meta,18.46205
48,1.48,True,Wed Feb 26 2020 10:41:19 GMT-0500 (Eastern Standard Time),meta,17.8536
49,1.9,True,Wed Dec 11 2019 16:45:03 GMT-0500 (Eastern Standard Time),none,9.992233333333333
50,1.63,True,Wed Feb 26 2020 10:08:28 GMT-0800 (Pacific Standard Time),none,12.3428
51,1.53,True,Wed Feb 26 2020 11:50:19 GMT-0500 (Eastern Standard Time),none,10.166716666666666
52,2.1,True,Wed Feb 26 2020 11:09:52 GMT-0500 (Eastern Standard Time),meta,19.07075
53,1.11,True,Wed Dec 11 2019 16:52:59 GMT-0600 (Central Standard Time),none,19.455833333333334
54,1.44,True,Wed Feb 26 2020 08:41:20 GMT-0700 (Mountain Standard Time),meta,18.810583333333334
55,2.06,True,Wed Dec 11 2019 15:58:14 GMT-0600 (Central Standard Time),meta,21.7407
56,1.3,True,Wed Dec 11 2019 17:21:04 GMT-0600 (Central Standard Time),none,33.063266666666664
57,1.78,True,Wed Dec 11 2019 18:42:36 GMT-0500 (Eastern Standard Time),meta,18.29725
58,0.52,True,Wed Feb 26 2020 08:55:40 GMT-0800 (Pacific Standard Time),meta,20.835716666666666
59,1.29,True,Wed Feb 26 2020 11:10:08 GMT-0500 (Eastern Standard Time),none,13.38615
60,2.49,True,Wed Feb 26 2020 10:43:10 GMT-0500 (Eastern Standard Time),meta,17.505533333333332
61,1.71,True,Wed Feb 26 2020 10:37:20 GMT-0500 (Eastern Standard Time),none,14.1123
62,0.75,True,Wed Feb 26 2020 12:09:23 GMT-0500 (Eastern Standard Time),none,14.642183333333334
63,1.45,True,Wed Dec 11 2019 13:22:21 GMT-0800 (Pacific Standard Time),none,32.865566666666666
64,2.15,True,Wed Feb 26 2020 10:52:30 GMT-0500 (Eastern Standard Time),none,26.5542
65,1.97,True,Wed Feb 26 2020 07:35:30 GMT-0800 (Pacific Standard Time),none,14.612983333333334
66,1.05,True,Wed Feb 26 2020 10:30:54 GMT-0500 (Eastern Standard Time),none,11.39835
67,2.23,True,Wed Feb 26 2020 12:45:12 GMT-0500 (Eastern Standard Time),none,23.274833333333333
68,1.44,True,Wed Feb 26 2020 08:25:50 GMT-0700 (Mountain Standard Time),none,90.85145
69,0.0,False,Wed Dec 11 2019 16:30:10 GMT-0600 (Central Standard Time),meta,
70,2.55,True,Wed Dec 11 2019 18:08:16 GMT-0500 (Eastern Standard Time),meta,28.794583333333332
71,1.5,True,Wed Feb 26 2020 08:24:30 GMT-0700 (Mountain Standard Time),none,32.86683333333333
72,1.82,True,Wed Feb 26 2020 10:00:38 GMT-0600 (Central Standard Time),meta,13.369266666666666
73,2.33,True,Wed Feb 26 2020 10:56:08 GMT-0500 (Eastern Standard Time),meta,19.8287
74,1.75,True,Wed Feb 26 2020 10:30:07 GMT-0500 (Eastern Standard Time),meta,31.629766666666665
75,1.89,True,Wed Feb 26 2020 09:23:27 GMT-0600 (Central Standard Time),meta,15.873016666666667
76,2.2,True,Wed Dec 11 2019 14:23:23 GMT-0700 (Mountain Standard Time),none,21.076016666666668
77,1.24,True,Wed Dec 11 2019 16:15:54 GMT-0500 (Eastern Standard Time),none,16.452533333333335
78,2.32,True,Wed Dec 11 2019 16:17:25 GMT-0600 (Central Standard Time),meta,21.27925
79,1.76,True,Wed Feb 26 2020 12:27:32 GMT-0500 (Eastern Standard Time),meta,20.8338
80,0.54,True,Wed Dec 11 2019 16:07:54 GMT-0600 (Central Standard Time),none,23.888
81,2.45,True,Wed Feb 26 2020 08:19:45 GMT-0800 (Pacific Standard Time),meta,15.949033333333333
82,2.17,True,Wed Feb 26 2020 10:50:10 GMT-0500 (Eastern Standard Time),meta,29.997833333333332
83,2.67,True,Wed Dec 11 2019 14:19:53 GMT-0700 (Mountain Standard Time),meta,18.633183333333335
84,2.66,True,Wed Feb 26 2020 10:15:41 GMT-0600 (Central Standard Time),none,12.957383333333333
85,1.58,True,Wed Dec 11 2019 17:02:31 GMT-0500 (Eastern Standard Time),none,17.12275
86,1.25,True,Wed Feb 26 2020 12:41:15 GMT-0600 (Central Standard Time),meta,16.692433333333334
87,2.1,True,Wed Feb 26 2020 08:00:44 GMT-0800 (Pacific Standard Time),none,16.257316666666668
88,1.6,True,Wed Dec 11 2019 14:38:35 GMT-0800 (Pacific Standard Time),none,23.8489
89,2.19,True,Wed Dec 11 2019 17:02:55 GMT-0600 (Central Standard Time),meta,16.088383333333333
90,2.19,True,Wed Dec 11 2019 16:53:41 GMT-0500 (Eastern Standard Time),meta,19.422966666666667
