wid,feedback,train_height,startTime,bonus,completed,previously_participated,n_quiz,instruct_time,total_time,sex,age
wa9c9e3b,meta,3,Wed Aug 25 2021 14:31:50 GMT-0400 (Eastern Daylight Time),0.0,True,No,2.0,"[91445, 9306]",31.312066666666666,Male,19.0
w698781d,video,3,Wed Aug 25 2021 13:44:48 GMT-0400 (Eastern Daylight Time),0.0,True,No,,,,Female,20.0
w4f83212,action,3,Thu Aug 26 2021 09:30:50 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[135120],42.32938333333333,,
we99f1e9,none,3,Thu Aug 26 2021 08:38:20 GMT-0500 (Central Daylight Time),0.0,True,No,2.0,"[93771, 53999]",32.07855,,
w17bb455,meta,3,Wed Aug 25 2021 14:41:38 GMT-0400 (Eastern Daylight Time),0.0,True,No,5.0,"[151355, 18924, 11191, 14394, 18258]",48.79656666666666,Female,24.0
w9fb2a2e,video,3,Wed Aug 25 2021 14:06:26 GMT-0400 (Eastern Daylight Time),0.0,True,No,,,,Male,32.0
w19b4129,none,3,Thu Aug 26 2021 08:53:07 GMT-0400 (Eastern Daylight Time),0.0,True,Yes,2.0,"[33047, 20599]",25.545633333333335,,
we7b15f7,video,3,Thu Aug 26 2021 06:52:32 GMT-0700 (Pacific Daylight Time),0.0,True,No,,,,,
wabf0cfc,action,3,Thu Aug 26 2021 08:58:13 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[71522],31.907066666666665,,
w670adae,meta,3,Thu Aug 26 2021 07:54:39 GMT-0600 (Central Standard Time),0.0,True,No,1.0,[19778],32.69166666666667,,
wf76cdb5,none,3,Wed Aug 25 2021 13:11:13 GMT-0500 (Central Daylight Time),0.0,True,No,2.0,"[204782, 181247]",44.29671666666667,Male,37.0
w2485d27,video,3,Thu Aug 26 2021 09:10:45 GMT-0400 (Eastern Daylight Time),0.0,True,Not sure,,,,,
wb6257f5,none,3,Thu Aug 26 2021 10:00:35 GMT-0400 (Eastern Daylight Time),0.0,True,No,1.0,[115048],19.832416666666667,,
w3853c11,action,3,Thu Aug 26 2021 10:03:45 GMT-0400 (Eastern Daylight Time),0.0,False,,1.0,[18873],,,
