pid,bonus,completed,startTime,train_height
28,0.43,True,Fri Jan 10 2020 23:20:07 GMT+0530 (India Standard Time),2
29,0.0,False,Tue Feb 25 2020 18:13:55 GMT-0800 (Pacific Standard Time),1
30,0.0,False,Mon Feb 24 2020 13:51:17 GMT-0700 (Mountain Standard Time),3
31,1.44,True,Fri Jan 10 2020 18:00:40 GMT-0500 (Eastern Standard Time),2
32,1.87,True,Mon Feb 24 2020 13:07:08 GMT-0600 (Central Standard Time),2
33,1.92,True,Fri Jan 10 2020 13:53:46 GMT-0500 (Eastern Standard Time),3
34,0.51,True,Mon Feb 24 2020 13:32:53 GMT-0600 (Central Standard Time),2
35,0.35,True,Mon Feb 24 2020 13:07:14 GMT-0600 (Central Standard Time),1
36,1.43,True,Fri Jan 10 2020 12:51:51 GMT-0500 (Eastern Standard Time),3
37,0.57,True,Mon Feb 24 2020 13:34:10 GMT-0600 (Central Standard Time),2
38,1.5,True,Fri Jan 10 2020 13:34:43 GMT-0500 (Eastern Standard Time),1
39,1.92,True,Mon Feb 24 2020 13:38:08 GMT-0800 (Pacific Standard Time),3
40,1.41,True,Tue Feb 25 2020 11:46:58 GMT-0600 (Central Standard Time),2
41,1.95,True,Fri Jan 10 2020 11:33:25 GMT-0600 (Central Standard Time),3
42,1.87,True,Fri Jan 10 2020 11:59:41 GMT-0600 (Central Standard Time),2
43,1.98,True,Mon Feb 24 2020 14:16:12 GMT-0500 (Eastern Standard Time),1
44,0.0,False,Tue Feb 25 2020 14:33:32 GMT-0500 (Eastern Standard Time),3
45,1.63,True,Fri Jan 10 2020 11:26:14 GMT-0700 (Mountain Standard Time),2
46,1.68,True,Fri Jan 10 2020 17:27:32 GMT-0500 (Eastern Standard Time),1
47,0.0,False,Fri Jan 10 2020 09:57:25 GMT-0800 (Pacific Standard Time),2
48,1.69,True,Fri Jan 10 2020 10:21:00 GMT-0800 (Pacific Standard Time),3
49,0.0,False,Mon Feb 24 2020 11:00:01 GMT-0800 (Pacific Standard Time),3
50,0.27,True,Fri Jan 10 2020 13:55:03 GMT-0500 (Eastern Standard Time),2
51,0.0,True,Tue Feb 25 2020 10:44:05 GMT-0800 (Pacific Standard Time),1
52,1.66,True,Wed Jan 08 2020 16:04:22 GMT-0500 (Eastern Standard Time),1
53,1.7,True,Wed Jan 08 2020 11:58:18 GMT-0700 (Mountain Standard Time),1
54,0.0,False,Fri Jan 10 2020 10:17:54 GMT-0800 (Pacific Standard Time),2
55,1.3,True,Fri Jan 10 2020 09:37:30 GMT-0800 (Pacific Standard Time),1
56,0.35,True,Mon Feb 24 2020 14:30:35 GMT-0800 (Pacific Standard Time),3
57,0.0,False,Mon Feb 24 2020 14:20:25 GMT-0800 (Pacific Standard Time),1
58,0.0,False,Fri Jan 10 2020 12:42:37 GMT-0500 (Eastern Standard Time),3
59,1.4,True,Fri Jan 10 2020 13:21:07 GMT-0500 (Eastern Standard Time),1
60,0.39,True,Fri Jan 10 2020 10:03:30 GMT-0800 (Pacific Standard Time),1
61,0.0,False,Fri Jan 10 2020 14:20:47 GMT-0600 (Central Standard Time),1
62,0.46,True,Mon Feb 24 2020 14:46:49 GMT-0500 (Eastern Standard Time),2
63,1.86,True,Tue Feb 25 2020 13:00:04 GMT-0500 (Eastern Standard Time),3
64,1.41,True,Fri Jan 10 2020 12:35:07 GMT-0500 (Eastern Standard Time),3
65,2.27,True,Fri Jan 10 2020 14:25:43 GMT-0500 (Eastern Standard Time),3
66,0.0,True,Thu Jan 09 2020 14:45:33 GMT-0800 (Pacific Standard Time),3
67,1.87,True,Mon Feb 24 2020 13:49:51 GMT-0500 (Eastern Standard Time),3
68,0.0,True,Fri Jan 10 2020 10:37:34 GMT-0800 (Pacific Standard Time),3
69,0.0,False,Fri Jan 10 2020 13:09:39 GMT-0500 (Eastern Standard Time),2
70,2.02,True,Thu Jan 09 2020 14:29:16 GMT-0700 (Mountain Standard Time),2
71,0.0,True,Tue Feb 25 2020 10:10:27 GMT-0800 (Pacific Standard Time),3
72,1.62,True,Fri Jan 10 2020 12:39:28 GMT-0600 (Central Standard Time),1
73,1.58,True,Fri Jan 10 2020 13:04:49 GMT-0800 (Pacific Standard Time),2
74,1.72,True,Fri Jan 10 2020 12:54:50 GMT-0500 (Eastern Standard Time),2
75,1.21,True,Mon Feb 24 2020 14:16:57 GMT-0500 (Eastern Standard Time),3
76,1.7,True,Fri Jan 10 2020 10:55:13 GMT-0800 (Pacific Standard Time),3
77,0.65,True,Fri Jan 10 2020 14:56:38 GMT-0300 (hora est&#225;ndar de Argentina),3
78,0.0,False,Fri Jan 10 2020 12:35:01 GMT-0500 (Eastern Standard Time),3
79,1.8,True,Wed Jan 08 2020 11:03:46 GMT-0800 (Pacific Standard Time),2
80,1.81,True,Mon Feb 24 2020 08:55:17 GMT-1000 (Hawaii-Aleutian Standard Time),3
81,0.0,False,Mon Feb 24 2020 13:49:00 GMT-0700 (Mountain Standard Time),3
82,1.37,True,Tue Feb 25 2020 15:51:18 GMT-0500 (Eastern Standard Time),2
83,0.0,False,Fri Jan 10 2020 13:26:12 GMT-0500 (Eastern Standard Time),1
84,0.12,True,Mon Feb 24 2020 12:58:42 GMT-0800 (Pacific Standard Time),2
85,2.07,True,Mon Feb 24 2020 14:32:57 GMT-0500 (Eastern Standard Time),1
86,1.82,True,Fri Jan 10 2020 12:54:53 GMT-0500 (Colombia Standard Time),3
87,1.25,True,Tue Feb 25 2020 11:02:56 GMT-0700 (Mountain Standard Time),1
88,0.63,True,Fri Jan 10 2020 14:51:09 GMT-0500 (Eastern Standard Time),1
89,1.68,True,Fri Jan 10 2020 10:37:22 GMT-0700 (Mountain Standard Time),3
90,1.69,True,Fri Jan 10 2020 14:09:58 GMT-0500 (Eastern Standard Time),1
91,0.0,False,Mon Feb 24 2020 14:05:37 GMT-0500 (Eastern Standard Time),2
92,0.31,True,Mon Feb 24 2020 13:20:52 GMT-0800 (Pacific Standard Time),3
93,0.0,True,Sat Jan 11 2020 00:33:01 GMT+0300 (GMT+03:00),3
94,2.02,True,Fri Jan 10 2020 13:57:42 GMT-0500 (Eastern Standard Time),1
95,0.76,True,Fri Jan 10 2020 09:49:53 GMT-0800 (Pacific Standard Time),1
96,1.82,True,Mon Feb 24 2020 14:19:20 GMT-0700 (Mountain Standard Time),3
97,1.85,True,Fri Jan 10 2020 12:59:10 GMT-0500 (Eastern Standard Time),1
98,1.6,True,Fri Jan 10 2020 10:44:45 GMT-0700 (Mountain Standard Time),1
99,0.42,True,Tue Feb 25 2020 09:50:33 GMT-0800 (Pacific Standard Time),3
