,wid,bonus
3,w1484ac8,0.9550000000000001
6,w82645ad,0.5800000000000001
9,w92db7c7,0.7800000000000001
12,wb517cbd,0.6200000000000001
17,wed54a86,0.785
20,wee9d90b,0.625
23,w8eabdd6,0.9349999999999999
28,wa51fa21,0.8
31,w3bcd128,1.105
34,w911dad2,1.045
37,w4e2bdca,0.9850000000000001
40,wd15d31c,0.685
43,w2b95138,0.81
46,wcd00080,0.71
49,w5ec2cd8,0.665
52,wf4a8f53,1.05
55,w333e5db,0.8150000000000001
58,web7023c,0.8550000000000001
