wid,train_height,feedback,startTime,bonus,completed
w7c9fb3a,3,action,Mon Dec 14 2020 19:12:43 GMT-0500 (Eastern Standard Time),0.0,True
w435cc1b,3,none,Mon Dec 14 2020 16:13:57 GMT-0800 (Pacific Standard Time),0.0,True
w5f300a2,3,action,Mon Dec 14 2020 13:47:46 GMT-0500 (Eastern Standard Time),0.0,True
wd35b1ca,3,action,Mon Dec 14 2020 18:55:50 GMT-0500 (Eastern Standard Time),0.0,True
w658f55a,3,action,Mon Dec 14 2020 15:39:02 GMT-0500 (Eastern Standard Time),0.0,True
wd142415,3,action,Mon Dec 14 2020 14:29:13 GMT-0600 (Central Standard Time),0.0,True
w7433a3f,3,meta,Tue Dec 15 2020 10:55:00 GMT-0600 (Central Standard Time),0.0,True
w581c72f,3,meta,Tue Dec 15 2020 09:35:57 GMT-0800 (Pacific Standard Time),0.0,True
wa8c3a62,3,action,Tue Dec 15 2020 11:55:34 GMT-0500 (Eastern Standard Time),0.0,True
w8075db0,3,action,Mon Dec 14 2020 14:15:14 GMT-0600 (Central Standard Time),0.0,True
wa6a83f9,3,none,Mon Dec 14 2020 15:58:44 GMT-0500 (Eastern Standard Time),0.0,True
w8d385a8,3,none,Mon Dec 14 2020 15:45:51 GMT-0500 (Eastern Standard Time),0.0,True
w32070eb,3,meta,Mon Dec 14 2020 12:39:14 GMT-0800 (Pacific Standard Time),0.0,True
w801aa58,3,none,Mon Dec 14 2020 12:38:25 GMT-0600 (Central Standard Time),0.0,True
w3242e19,3,action,Mon Dec 14 2020 12:52:04 GMT-0600 (Central Standard Time),0.0,True
w63f8333,3,meta,Mon Dec 14 2020 15:57:05 GMT-0500 (Eastern Standard Time),0.0,True
w76d93a9,3,action,Mon Dec 14 2020 15:51:58 GMT-0500 (Eastern Standard Time),0.0,False
w64a78fe,3,action,Mon Dec 14 2020 14:44:37 GMT-0600 (Central Standard Time),0.0,True
w1a23b00,3,meta,Tue Dec 15 2020 11:59:01 GMT-0500 (Eastern Standard Time),0.0,True
we0b4002,3,none,Mon Dec 14 2020 14:42:21 GMT-0600 (Central Standard Time),0.0,True
wfebec41,3,action,Mon Dec 14 2020 19:06:02 GMT-0500 (Eastern Standard Time),0.0,True
wb5333a2,3,action,Tue Dec 15 2020 12:17:28 GMT-0500 (Eastern Standard Time),0.0,True
w743f260,3,meta,Mon Dec 14 2020 14:59:47 GMT-0500 (Eastern Standard Time),0.0,True
wcef5fa5,3,none,Mon Dec 14 2020 13:56:04 GMT-0800 (Pacific Standard Time),0.0,True
w0599323,3,action,Mon Dec 14 2020 12:51:21 GMT-0800 (Pacific Standard Time),0.0,True
w039c054,3,meta,Mon Dec 14 2020 16:05:31 GMT-0800 (Pacific Standard Time),0.0,True
w1623f52,3,none,Mon Dec 14 2020 12:44:49 GMT-0600 (Central Standard Time),0.0,True
wc82c8fa,3,none,Mon Dec 14 2020 19:44:53 GMT-0500 (Eastern Standard Time),0.0,True
w6d58a27,3,meta,Mon Dec 14 2020 12:59:05 GMT-0800 (Pacific Standard Time),0.0,True
w755d1e9,3,meta,Tue Dec 15 2020 11:10:51 GMT-0600 (Central Standard Time),0.0,True
w4e8dc82,3,none,Mon Dec 14 2020 12:52:58 GMT-0600 (Central Standard Time),0.0,True
w5f90050,3,none,Mon Dec 14 2020 19:14:02 GMT-0500 (Eastern Standard Time),0.0,True
w7298c00,3,none,Mon Dec 14 2020 10:51:09 GMT-0800 (Pacific Standard Time),0.0,True
wfd84326,3,meta,Tue Dec 15 2020 09:59:48 GMT-0700 (Mountain Standard Time),0.0,True
wa988e02,3,meta,Mon Dec 14 2020 14:13:50 GMT-0500 (Eastern Standard Time),0.0,False
w988391c,3,meta,Tue Dec 15 2020 11:52:49 GMT-0500 (Eastern Standard Time),0.0,True
w0e9c16a,3,action,Mon Dec 14 2020 15:52:32 GMT-0500 (Eastern Standard Time),0.0,True
w66efa51,3,meta,Mon Dec 14 2020 16:28:10 GMT-0800 (Pacific Standard Time),0.0,True
w54700f5,3,meta,Mon Dec 14 2020 15:57:58 GMT-0500 (Eastern Standard Time),0.0,True
w8821d52,3,meta,Tue Dec 15 2020 11:52:54 GMT-0500 (Eastern Standard Time),0.0,True
w98bb046,3,action,Mon Dec 14 2020 16:27:51 GMT-0800 (Pacific Standard Time),0.0,True
w3f4ef8c,3,action,Mon Dec 14 2020 19:06:49 GMT-0500 (Eastern Standard Time),0.0,True
w510cda1,3,meta,Mon Dec 14 2020 19:02:23 GMT-0500 (Eastern Standard Time),0.0,True
wc4cb9dd,3,none,Mon Dec 14 2020 18:02:02 GMT-0600 (Central Standard Time),0.0,True
wbb086c7,3,none,Mon Dec 14 2020 19:27:35 GMT-0500 (Eastern Standard Time),0.0,True
