worker_id,bonus,wid
5ba345bcf07414000106135e,0.28,wb769699
5fb408103d1ee302680cc5a7,0.79,w6e64d0b
55bb74f1fdf99b1519ef4762,1.07,w801aa58
5d34de398f657e00150dd0d5,1.07,wc7197ac
5b129b48444cef0001cad497,0.93,w42aea8e
5fc3f1e4621804783665699f,0.72,w26a8ecf
5fcd4152945149c4d890a3f4,1.07,w1ae2107
5f07e040943fa520130a9f9b,0.86,wf27b540
5ea9fb6d7baf8116c836a9c9,0.79,wfa605ad
5ea714d0ba872d0cc55cdd79,1.12,w9fdb8c0
5a718c0eff6f2300013efab2,0.64,we1ffa32
5f471edcfc6fe910c7c9d164,0.99,w901c4d2
5deb341d35575a2547b1f85a,1.03,w960d661
5f50732850c7c600098593df,0.91,w294f5d6
5fc4f02f7af0ee058c0572b4,1.01,w466cdbb
5ee0e5063f7f190b2b3f3b14,0.83,wbb8f713
5c9ebf067114700016da2813,0.67,w00dd09e
5af23d2c5847970001e34be4,1.05,w609c74e
5b05e0d131cebe000177c38e,1.01,w86e2b17
59a88f5b321f870001d16d68,0.45,wbb086c7
5f0b34635a4ca342ed81e4d8,1.18,w0226ca6
5fa324b8b1f28d5f1590ae1c,1.15,wd2ad689
5f6ce3adf042f0110a630a0e,1.16,w069afe5
5f95ab391e3ae142d37fba01,0.89,we7634e8
5d7aa4c716c9af0019b423c6,1.18,w4baf788
5c8974ef34daa70015e92daf,0.92,w05f59dc
5eb0bbbc0be27c183500b45d,0.94,wef0dc82
5f525cd7d4ac644f3330116c,0.94,wea216ad
5f88af229bebc908b59e821c,0.93,w00c4532
5d99139757ff31001946659b,0.97,w28940da
559c3ad8fdf99b32b55f2d32,0.95,w8075db0
5c5e1a1559ec1d0001fe5afa,0.94,wc9d5aa8
5da7a2b9c1c99d00176c6ddf,1.34,w38f9437
5c672e1a23f6300001381bcc,1.06,w0ca53d5
5c32331c70d93a00012338fd,0.82,wfedb562
5d7c49ec90d1320001d7cbc7,0.97,w4c194fa
5de6fd0d2bab5267cd9c2106,0.76,w7b4639d
5a67725b63394a000155abbb,0.82,wd829fe2
5e9aa65a9d211b140b6919f7,1.17,w09027aa
5a395450a324900001af015c,1.07,wbba3089
5dd663c3cf8e7e5efc123950,1.08,w2fe6f26
5f71a67072fba6000b5cb636,0.86,wac6bac8
5f394ce53b053607008f4b74,0.86,w3fb6f9c
5fac997db63d252ba6a82a8f,0.94,wb13eaeb
5f4efbf90b8cc113d26921a4,0.94,w7625a08
5af2686097a14300017d28f0,0.41,w60ea35a
5e3f8fcc6aa9281f24577e9d,0.62,w2717313
5eaefec7c1324e5def56caf8,0.46,w0ec5e17
5f31e1295ed88c118c4cd5a2,0.95,wdc5ae23
5b5d13d25256470001bc5ef2,0.95,w8ff05c8
5f491f40c53d36421f2a6bf5,0.85,wf06ee18
5e750dcc865a9407031654cf,0.93,w2c25e99
5ef7c2973395625028f120a3,0.75,w8f607a9
5f4aeeae75b5255a2acae52d,0.96,w2ea70f4
5c00e20b6e6cd80001bf1d7b,1.1,wf8b1b89
5eda58dd1d5f72085bb85d9b,0.88,wa23fc14
5fbcc84df3d0d218861ac8af,1.01,w6d241f5
5cf308da81ea050017a6151e,0.96,w5e46eed
5d27cc28c22768001a66cd94,0.84,w3bce2f8
5bd44384f656800001b6eae1,0.75,w5a1c6a3
5efba90ef81cbe13a3d7df40,0.91,wcc1f8b5
5fc686297a22da0524cc09dd,1.18,wea79123
5e6548f0ec868d2cbe40ada2,0.75,w3c68511
5f8df8208f674f1978046114,0.95,wd45c312
5e3f4c676d06fc1b240e6021,0.82,w31235ca
5df12c0145751d000ee2c33d,0.99,wddf52ae
5e651872b607bc2964022324,1.05,w0ada0ff
5f70dc214d5f9b6e4a11ee48,1.09,w0f455f2
5e1a5f747e18272d7de19f6c,1.15,w7e21139
5e99e3eaf88ad2058ac59615,1.16,wd8d1a5f
5ec81134ac7d6b2b9ac51453,0.72,w7b01e46
5dee72917309b950e5262f3a,1.11,wff3f640
5f937bea3db2b6165d46f265,0.96,w1bbab9e
5fd67a08bc5c8c5964f5d23b,1.1,w244331a
5a790a908fe2dc0001058b37,1.09,w4cdeb89
5f496b791798ec4d6340620d,0.95,wd66a71c
5d4c7d1a2a25e5000114cf3b,1.16,wd8ef4ed
5e164e81502213c397f0cf39,0.6,w1e76c70
5f7ba173b2c82517fe6bf2a1,0.86,w4ed2a39
5f8dedc3c2145018633e34d5,0.52,w7907ba6
5de83f3b3aa615000a41f831,1.05,wd13fd17
5dd344dfe426bd35cbc374ea,0.86,wced2e78
5eefcc4bf64ab12846a5e671,0.7,wcc26c89
5f4330176b31f21a42eaefe1,0.93,w5e9ab10
5ac6cc039534ba0001c75642,0.66,w3180e9a
5cae289c2cbd06001327c0a3,1.26,wd478745
5fcfee5548968a1b76d6efdd,0.66,w6fdcf65
5fab1c844cd0385d750d9220,0.89,w90fa858
5fc452e130dfe73d23ee876b,1.16,w8bd10ce
5fd4c107b99c7b058c754519,0.92,w67611af
559b1e92fdf99b426abb6227,0.76,wa8c3a62
5e53eb33ef87a902f39b1b77,1.15,w390784f
5e53950380aa2c3958b44923,1.0,w716694c
5faae979c3611f513aa79b31,1.03,wac4b2bc
5eb9fa8b1d81a6139398fd6b,1.23,w7b68c11
5eabb7264a9aaa19fc5c6ed6,1.02,w5fa2c4c
5ecb09cc5bb88d670255817a,1.09,we9b9c2d
5f20958e8fd66c3a46f2a8ed,0.84,w10c1edc
5e4d8a034884361e1aeaca28,0.68,w6c5f69b
5efb8a4baf04a911013d1325,1.05,wca2d391
5fbd96ed8dc3501c6bdd2f47,1.08,wfe193bf
5ec57e4469604457d8949aaf,1.16,w241a2f0
54e32a60fdf99b3eae9de85b,0.86,wd142415
5f6b8e62f02f290b4485e3ac,0.26,w24e6a96
5f273f8ba9a38c44acd49ffe,0.58,wb9369c7
5ed2f70cae98302901c31d4f,0.81,w1e4f71b
5fd1ce381609e21cfb29751e,1.02,w047bc0a
56e225c2ec0fdd000641e72d,0.91,wb5333a2
5f283c03a04a3b0ec99597b4,1.12,w2f28149
5b9ee842d2887a00014fe1df,0.64,w418090f
5fb6cac8c9c74d0165b70934,0.8,w7e67061
55f63fc432af740012171ef6,1.1,w63f8333
5cd85ef210887400012db8dc,1.07,w38a2a9b
5acb7b0ae1099600016acdd6,0.69,wc5fb762
5e9df26707933e1720927fee,0.91,wa1598cc
5fd4d08021ce43067dbc7bba,1.13,w08019c8
5e3d8d90de328d044e7c6ffb,0.94,w4f0d5de
5fd23ecda6599f06a53f4f62,0.58,w02127c3
5f864f232c819c1ad1486d7b,1.02,w25b0509
5b9217c162766e00012bb9c6,0.51,w2e69ef4
5f6b87eaa0ac5f097fc2f902,1.26,w38fd09e
5f50d630390521264e606772,0.77,wce679db
5f5939f006360f1639edb770,1.05,w9e2f290
5e6d117d1c06860009abf9c9,0.95,w9444f86
5fbda708e368851d517637de,0.57,w8af14d1
5e84765c7206730182a6f738,1.23,w51c08ad
5fbfb86436a5de31c546f37b,0.94,w4f1ff48
5d09019cea972100014093b5,0.67,w5e4f58d
5d461ca8597d3a001694dd9f,0.97,wf32c38a
5f64b0f21da5c4000a494ad2,0.67,wf492ffd
5a063c2d844c7a00015e477d,0.85,wd9c7477
5ef10fcd68a53e4a87ff6e01,1.21,wb95d72f
5ed2fa0793788128b41df2cd,0.93,wf7c3695
5e8e7167572c651246e08a7b,0.84,w13a7837
5f973520373a810d4f46d49c,1.08,w563a897
5b87ef985548a50001e57650,1.28,wb746423
5ce9c6df6b2b3d001a94b24f,0.78,w1467077
5f4c86be4598118a06c149da,1.04,wbcf4885
5bf3761862e1bc0001f15cb2,0.92,w63067b9
5ac560359534ba0001c74715,1.03,wb800eb3
5fa62963d5f64b209953d321,0.88,w3591a2b
5db7bd876c5fc8000adcc2ba,0.95,w0c5ce95
5dbde069baf28d309690b407,0.7,w7a82ef6
5a7f79f48fe2dc000105cbb4,0.74,wab86789
5dc38f975e2a772a1d051c97,0.9,w0d98bea
5b9fe9879624180001134e44,0.96,w6b3e3d2
5f8f47a3aa730f19081fe0ac,1.28,wf34352e
5da49efa203c590013533d84,1.09,w0e143ce
5b2fb4b86d601d0001d5d7ff,1.11,w598be6b
