wid,button_pressed,stimulus,view_history,correct,questions,responses,score,delays,trial_time,block,trial_index,clicks,n_clicks,stim_i
w5eb0daf,,,,,,,42.0,"[0, 0, 0]",8436.0,training,4,"[8, 11]",2,37
w5eb0daf,,,,,,,18.0,"[0, 0, 0, 0, 0, 0, 0]",12616.0,training,5,"[7, 12, 11, 8, 3, 4]",6,38
w5eb0daf,,,,,,,32.0,"[0, 0, 0, 0, 0, 3, 0]",15458.0,training,6,"[8, 4, 7, 3, 12, 11]",6,2
w5eb0daf,,,,,,,54.0,"[0, 0, 0]",8868.0,training,7,"[8, 11]",2,17
w5eb0daf,,,,,,,45.0,"[0, 0, 0, 0]",9405.0,training,8,"[8, 12, 11]",3,39
w5eb0daf,,,,,,,56.0,"[0, 0, 0, 0, 0]",10678.0,training,9,"[8, 11, 7, 12]",4,30
w452050f,,,,,,,30.0,[],16422.0,training,0,"[1, 9, 5, 2]",4,31
w452050f,,,,,,,23.0,[],35901.0,training,1,"[5, 9, 1, 10, 2, 4, 3]",7,40
w452050f,,,,,,,31.0,[],10068.0,training,2,"[1, 2, 4, 3, 8]",5,41
w452050f,,,,,,,49.0,[],14329.0,training,3,"[8, 7, 3]",3,42
w452050f,,,,,,,39.0,[],10215.0,training,4,"[8, 7, 3, 4, 11]",5,22
w452050f,,,,,,,24.0,[],8875.0,training,5,"[12, 11, 4, 3, 7, 8]",6,25
w452050f,,,,,,,53.0,[],10507.0,training,6,[8],1,16
w452050f,,,,,,,52.0,[],15617.0,training,7,"[8, 7, 3, 4]",4,43
w452050f,,,,,,,44.0,[],7638.0,training,8,"[8, 7]",2,33
w452050f,,,,,,,42.0,[],29548.0,training,9,"[8, 7]",2,10
we2541ac,,,,,,,54.0,[],13266.0,training,0,[],0,6
we2541ac,,,,,,,60.0,[],9711.0,training,1,[],0,21
we2541ac,,,,,,,-36.0,[],49882.0,training,2,[],0,37
we2541ac,,,,,,,40.0,[],30986.0,training,3,[],0,42
we2541ac,,,,,,,36.0,[],43179.0,training,4,[],0,12
we2541ac,,,,,,,12.0,[],53257.0,training,5,[],0,29
we2541ac,,,,,,,-24.0,[],13726.0,training,6,[],0,36
we2541ac,,,,,,,-36.0,[],87714.0,training,7,[],0,44
we2541ac,,,,,,,36.0,[],11113.0,training,8,[],0,5
we2541ac,,,,,,,-46.0,[],185173.0,training,9,[],0,45
wdf9eec4,,,,,,,15.0,[],13901.0,training,0,"[1, 5, 9, 10, 11]",5,1
wdf9eec4,,,,,,,21.0,[],12887.0,training,1,"[1, 5, 9, 11, 3, 7, 8, 4, 12]",9,25
wdf9eec4,,,,,,,42.0,[],15638.0,training,2,"[1, 5, 9, 11, 10, 12, 7, 8, 6, 3, 2, 4]",12,45
wdf9eec4,,,,,,,46.0,[],8976.0,training,3,"[8, 7, 6, 5]",4,32
wdf9eec4,,,,,,,40.0,[],10599.0,training,4,"[7, 8, 3, 4, 11, 12, 9, 10]",8,35
wdf9eec4,,,,,,,50.0,[],10820.0,training,5,"[7, 8, 4, 3, 11, 12, 10, 9, 2, 1]",10,26
wdf9eec4,,,,,,,30.0,[],10230.0,training,6,"[4, 3, 7, 8, 12, 11, 9, 10]",8,0
wdf9eec4,,,,,,,30.0,[],10784.0,training,7,"[11, 12, 4, 3, 7, 8, 2, 1]",8,3
wdf9eec4,,,,,,,46.0,[],11290.0,training,8,"[4, 3, 7, 8, 12, 11, 9, 10, 2, 1]",10,18
wdf9eec4,,,,,,,52.0,[],17833.0,training,9,"[4, 3, 7, 2, 11, 12, 8, 1]",8,34
w588321b,,,,,,,22.0,[],44549.0,training,0,"[6, 8, 5, 7, 3, 2, 4, 1, 9, 10, 11, 12]",12,35
w588321b,,,,,,,16.0,[],18905.0,training,1,"[5, 6, 7, 8, 9, 10, 11, 12, 1, 4, 2, 3]",12,1
w588321b,,,,,,,18.0,[],13221.0,training,2,"[9, 10, 11, 12, 1, 2, 4, 3, 5, 6, 7, 8]",12,25
w588321b,,,,,,,26.0,[],13669.0,training,3,"[9, 10, 12, 11, 4, 2, 3, 1, 7, 6, 5, 8]",12,46
w588321b,,,,,,,38.0,[],11845.0,training,4,"[9, 10, 12, 11, 2, 4, 3, 1, 5, 6, 7, 8]",12,32
w588321b,,,,,,,-42.0,[],16213.0,training,5,"[9, 10, 11, 12, 5, 1, 2, 4, 3, 6, 7, 8]",12,31
w588321b,,,,,,,32.0,[],12215.0,training,6,"[9, 10, 11, 12, 2, 4, 1, 3, 5, 6, 7, 8]",12,47
w588321b,,,,,,,-60.0,[],12596.0,training,7,"[9, 10, 11, 12, 5, 6, 7, 8, 1, 2, 4, 3]",12,14
w588321b,,,,,,,44.0,[],12697.0,training,8,"[9, 10, 11, 12, 5, 6, 7, 8, 1, 2, 4, 3]",12,48
w588321b,,,,,,,34.0,[],10249.0,training,9,"[9, 10, 11, 12, 5, 6, 7, 8, 1, 2, 4, 3]",12,33
