wid,feedback,train_height,startTime,bonus,completed
w5f37dee,action,3,Wed Oct 07 2020 10:53:03 GMT-0400 (Eastern Daylight Time),0.0,True
wc5e4d33,none,3,Wed Oct 07 2020 10:46:43 GMT-0400 (Eastern Daylight Time),0.0,True
w00873a8,none,3,Wed Oct 07 2020 10:53:39 GMT-0400 (Eastern Daylight Time),0.0,True
wb91524e,none,3,Wed Oct 07 2020 10:18:02 GMT-0500 (Central Daylight Time),0.0,True
w15919cb,meta,3,Wed Oct 07 2020 10:40:37 GMT-0400 (Eastern Daylight Time),0.0,True
w66b2542,meta,3,Wed Oct 07 2020 11:30:27 GMT-0400 (Eastern Daylight Time),0.0,True
w494e951,none,3,Wed Oct 07 2020 09:37:43 GMT-0500 (Central Daylight Time),0.0,True
w98f1b0c,none,3,Wed Oct 07 2020 09:40:27 GMT-0500 (Central Daylight Time),0.0,True
w91c085c,meta,3,Wed Oct 07 2020 10:01:16 GMT-0500 (Central Daylight Time),0.0,True
wec68ec3,action,3,Wed Oct 07 2020 10:32:54 GMT-0400 (Eastern Daylight Time),0.0,True
w26c2c7b,meta,3,Wed Oct 07 2020 10:52:13 GMT-0400 (Eastern Daylight Time),0.0,True
w41dfe98,meta,3,Wed Oct 07 2020 10:53:31 GMT-0400 (Eastern Daylight Time),0.0,True
wb06c29c,none,3,Wed Oct 07 2020 09:33:51 GMT-0500 (Central Daylight Time),0.0,True
wd6c841c,meta,3,Wed Oct 07 2020 10:48:27 GMT-0400 (Eastern Daylight Time),0.0,True
wb4e449a,meta,3,Wed Oct 07 2020 10:15:12 GMT-0400 (Eastern Daylight Time),0.0,True
w6658eb1,none,3,Wed Oct 07 2020 10:13:52 GMT-0400 (Eastern Daylight Time),0.0,True
wf2183c0,none,3,Wed Oct 07 2020 09:16:53 GMT-0500 (Central Daylight Time),0.0,True
w149de27,none,3,Wed Oct 07 2020 07:37:05 GMT-0700 (Pacific Daylight Time),0.0,True
w85af139,action,3,Wed Oct 07 2020 09:30:04 GMT-0500 (Central Daylight Time),0.0,True
w3f48398,action,3,Wed Oct 07 2020 11:03:43 GMT-0400 (Eastern Daylight Time),0.0,True
webc188d,meta,3,Wed Oct 07 2020 09:58:51 GMT-0500 (Central Daylight Time),0.0,True
