wid,feedback,train_height,startTime,bonus,completed
w14aa0fc,action,3,Wed Oct 07 2020 10:37:44 GMT-0400 (Eastern Daylight Time),0.0,True
web8ffb5,action,3,Wed Oct 07 2020 09:43:25 GMT-0500 (Central Daylight Time),0.0,True
w8fcea3b,none,3,Wed Oct 07 2020 10:07:00 GMT-0400 (Eastern Daylight Time),0.0,False
w0cdbe34,action,3,Wed Oct 07 2020 08:54:08 GMT-0600 (Mountain Daylight Time),0.0,True
w995b876,none,3,Wed Oct 07 2020 10:03:29 GMT-0500 (Central Daylight Time),0.0,True
w1c95d79,action,3,Wed Oct 07 2020 11:02:47 GMT-0400 (Eastern Daylight Time),0.0,True
w5a75905,action,3,Wed Oct 07 2020 08:55:56 GMT-0600 (Mountain Daylight Time),0.0,True
wffe6e63,action,3,Wed Oct 07 2020 09:49:03 GMT-0500 (Central Daylight Time),0.0,True
wf766f9e,none,3,Wed Oct 07 2020 09:51:14 GMT-0500 (Central Daylight Time),0.0,True
wd68ac06,none,3,Wed Oct 07 2020 11:01:23 GMT-0400 (Eastern Daylight Time),0.0,True
w49a4ecc,action,3,Wed Oct 07 2020 10:02:33 GMT-0500 (Central Daylight Time),0.0,True
w45d9d3d,none,3,Wed Oct 07 2020 11:07:09 GMT-0400 (EDT),0.0,True
wda8a823,none,3,Wed Oct 07 2020 10:37:48 GMT-0400 (EDT),0.0,True
w40735d7,action,3,Wed Oct 07 2020 09:41:31 GMT-0500 (Central Daylight Time),0.0,True
wd656ff6,action,3,Wed Oct 07 2020 09:38:34 GMT-0500 (CDT),0.0,True
w322a67f,none,3,Wed Oct 07 2020 11:04:22 GMT-0400 (Eastern Daylight Time),0.0,True
w31b8dfe,action,3,Wed Oct 07 2020 10:23:16 GMT-0400 (Eastern Daylight Time),0.0,True
w0b609ae,none,3,Wed Oct 07 2020 11:29:44 GMT-0500 (Central Daylight Time),0.0,False
w18740cf,action,3,Wed Oct 07 2020 10:45:02 GMT-0400 (Eastern Daylight Time),0.0,True
w38cc0d1,none,3,Wed Oct 07 2020 10:49:19 GMT-0400 (Eastern Daylight Time),0.0,True
wa7223c9,action,3,Wed Oct 07 2020 10:50:10 GMT-0400 (Eastern Daylight Time),0.0,True
wdd68901,meta,3,Wed Oct 07 2020 10:42:09 GMT-0400 (Eastern Daylight Time),0.0,False
wc3d7f02,meta,3,Wed Oct 07 2020 09:49:07 GMT-0500 (Central Daylight Time),0.0,True
w94269b2,action,3,Wed Oct 07 2020 10:53:40 GMT-0400 (Eastern Daylight Time),0.0,False
wc1e07f0,meta,3,Wed Oct 07 2020 10:23:16 GMT-0400 (Eastern Daylight Time),0.0,True
w47d0970,meta,3,Wed Oct 07 2020 11:04:12 GMT-0400 (Eastern Daylight Time),0.0,True
wa63c247,none,3,Wed Oct 07 2020 10:49:03 GMT-0400 (Eastern Daylight Time),0.0,True
wed564b7,meta,3,Wed Oct 07 2020 09:00:42 GMT-0700 (Pacific Daylight Time),0.0,True
w8cac3b3,action,3,Wed Oct 07 2020 09:41:45 GMT-0500 (Central Daylight Time),0.0,True
wa86155a,none,3,Wed Oct 07 2020 08:29:41 GMT-0600 (Mountain Daylight Time),0.0,True
w4d27c3c,meta,3,Wed Oct 07 2020 10:28:13 GMT-0400 (EDT),0.0,False
w214beb3,none,3,Wed Oct 07 2020 10:39:36 GMT-0400 (Eastern Daylight Time),0.0,True
w34122c9,action,3,Wed Oct 07 2020 11:03:07 GMT-0400 (Eastern Daylight Time),0.0,True
w262270e,meta,3,Wed Oct 07 2020 08:01:25 GMT-0700 (Pacific Daylight Time),0.0,True
w4e3fba9,none,3,Wed Oct 07 2020 10:49:11 GMT-0400 (Eastern Daylight Time),0.0,True
w12900a8,meta,3,Wed Oct 07 2020 09:53:30 GMT-0400 (Eastern Daylight Time),0.0,True
wb48b3ac,meta,3,Wed Oct 07 2020 10:58:29 GMT-0400 (Eastern Daylight Time),0.0,True
w3353e38,meta,3,Wed Oct 07 2020 10:54:06 GMT-0400 (Eastern Daylight Time),0.0,True
w80d4e65,action,3,Wed Oct 07 2020 09:17:28 GMT-0500 (Central Daylight Time),0.0,True
we5c6276,none,3,Wed Oct 07 2020 10:24:43 GMT-0400 (Eastern Daylight Time),0.0,True
w480411f,meta,3,Wed Oct 07 2020 10:24:26 GMT-0400 (EDT),0.0,False
wa9240d6,none,3,Wed Oct 07 2020 07:42:17 GMT-0700 (Pacific Daylight Time),0.0,True
we404de8,action,3,Wed Oct 07 2020 10:58:37 GMT-0400 (Eastern Daylight Time),0.0,True
w562f406,action,3,Wed Oct 07 2020 11:01:30 GMT-0400 (Eastern Daylight Time),0.0,True
w6178ba1,action,3,Wed Oct 07 2020 10:40:23 GMT-0400 (Eastern Daylight Time),0.0,True
wb072c6a,action,3,Wed Oct 07 2020 10:11:16 GMT-0400 (Eastern Daylight Time),0.0,True
w81e01f7,none,3,Wed Oct 07 2020 11:44:40 GMT-0400 (Eastern Daylight Time),0.0,True
w2a0ab42,action,3,Wed Oct 07 2020 10:59:46 GMT-0400 (Eastern Daylight Time),0.0,True
w7ed72a3,action,3,Wed Oct 07 2020 11:00:04 GMT-0400 (Eastern Daylight Time),0.0,True
w9fe461d,meta,3,Wed Oct 07 2020 10:03:04 GMT-0500 (Central Daylight Time),0.0,True
w9fb75c7,meta,3,Wed Oct 07 2020 10:35:21 GMT-0400 (Eastern Daylight Time),0.0,True
w68d7460,meta,3,Wed Oct 07 2020 10:52:50 GMT-0400 (EDT),0.0,False
w445c486,meta,3,Wed Oct 07 2020 10:42:18 GMT-0400 (Eastern Daylight Time),0.0,False
wec30174,none,3,Wed Oct 07 2020 09:55:17 GMT-0500 (Central Daylight Time),0.0,True
w508093e,none,3,Wed Oct 07 2020 11:07:04 GMT-0400 (Eastern Daylight Time),0.0,True
w9b5821f,none,3,Wed Oct 07 2020 17:09:04 GMT+0100 (GMT+01:00),0.0,False
wdb72bf5,meta,3,Wed Oct 07 2020 10:12:51 GMT-0400 (Eastern Daylight Time),0.0,True
wcee1350,none,3,Wed Oct 07 2020 07:59:12 GMT-0700 (Pacific Daylight Time),0.0,True
w12a699a,meta,3,Wed Oct 07 2020 09:03:19 GMT-0600 (Mountain Daylight Time),0.0,True
w92f2ebc,none,3,Wed Oct 07 2020 11:02:00 GMT-0400 (Eastern Daylight Time),0.0,True
w1ac0f32,none,3,Wed Oct 07 2020 09:58:24 GMT-0500 (CDT),0.0,False
wd43d838,action,3,Wed Oct 07 2020 10:57:58 GMT-0400 (Eastern Daylight Time),0.0,True
we4ca367,meta,3,Wed Oct 07 2020 10:40:12 GMT-0400 (Eastern Daylight Time),0.0,True
w9276193,action,3,Wed Oct 07 2020 12:00:50 GMT-0400 (Eastern Daylight Time),0.0,True
wa93d8e1,meta,3,Wed Oct 07 2020 10:43:41 GMT-0400 (Eastern Daylight Time),0.0,True
w6be0811,meta,3,Wed Oct 07 2020 11:08:55 GMT-0400 (Eastern Daylight Time),0.0,True
w4d98a86,meta,3,Wed Oct 07 2020 07:41:56 GMT-0700 (Pacific Standard Time),0.0,False
w14755fd,meta,3,Wed Oct 07 2020 10:58:15 GMT-0400 (Eastern Daylight Time),0.0,True
w779cc78,none,3,Wed Oct 07 2020 09:46:58 GMT-0500 (Central Daylight Time),0.0,True
w1dcfaef,none,3,Wed Oct 07 2020 06:59:51 GMT-0800 (Alaska Daylight Time),0.0,True
w66a7dde,none,3,Wed Oct 07 2020 10:02:45 GMT-0500 (Central Daylight Time),0.0,True
w100388f,meta,3,Wed Oct 07 2020 10:58:11 GMT-0400 (Eastern Daylight Time),0.0,True
w1042416,action,3,Wed Oct 07 2020 15:47:36 GMT+0100 (GMT+01:00),0.0,False
w760d912,meta,3,Wed Oct 07 2020 15:52:16 GMT+0100 (West Africa Standard Time),0.0,False
w674b109,meta,3,Wed Oct 07 2020 10:59:08 GMT-0400 (Eastern Daylight Time),0.0,True
w303e045,none,3,Wed Oct 07 2020 10:56:59 GMT-0400 (Eastern Daylight Time),0.0,True
wbe3ee2f,none,3,Wed Oct 07 2020 10:47:44 GMT-0400 (Eastern Daylight Time),0.0,True
wc3146ce,meta,3,Wed Oct 07 2020 09:45:18 GMT-0500 (CDT),0.0,True
